AAADL: ALADA
AAADR: ARADA
AAAKZ: AZAKA
AAANN: ANANA
AABBL: LABAB
AABBY: BABAY
AABDN: BANDA
AABDR: BARAD
AABFI: AFIBA
AABGR: GRABA
AABGS: BAGAS
AABGY: BAGAY
AABIL: ALABI
AABJR: BARAJ
AABJÛ: ABAJÛ
AABKO: ABAKO
AABKP: KAPAB
       PABAK
AABKR: BARAK
AABKS: KASAB
AABKT: KATAB
       TABAK
AABLN: BANAL
AABLP: PALAB
AABLR: RALBA
AABMN: MANBA
AABNS: ABSAN
       SANBA
AABNT: BATAN
AABNW: ANBWA
AABNZ: BANZA
AABPS: PASAB
AABRS: BRASA
AABRT: RABAT
AABTY: BATAY
AADEZ: AZADE
AADFS: FASAD
AADGI: AGIDA
AADGL: LAGAD
AADIY: AYIDA
AADJÊ: AJÊDA
AADKN: KADNA
AADKO: AKADO
AADKS: KADAS
       SAKAD
AADKV: KADAV
AADLM: MALAD
AADLN: LADAN
AADLS: SALAD
AADLY: DALYA
AADLÊ: ALADÊ
AADMN: MADAN
       MANDA
AADNW: ANDWA
AADPR: PARAD
AADRÇ: ÇARAD
AADTW: ADWAT
AADVW: DAVWA
AADVY: DAYVA
AADWZ: ADWAZ
AADYY: YAYAD
AAEGS: AGASE
AAEJM: AJAME
AAEKL: ALEKA
AAEKT: ATAKE
AAEKY: AKAYE
AAEMT: AMATE
AAETÇ: ATAÇE
AAFFN: FANFA
AAFGR: AGRAF
AAFKR: FRAKA
       KARAF
AAFLN: FANAL
AAFLR: RAFAL
AAFLW: LAFWA
AAFLÊ: ALAFÊ
AAFLÛ: ALÛFA
AAFMY: MAFYA
AAFNS: ANFAS
AAFPR: PARAF
AAFPW: PAFWA
AAFRT: FATRA
AAFTY: TAFYA
AAGJR: GARAJ
AAGKY: GAYAK
AAGLN: GALAN
AAGLT: GALTA
AAGMM: MAGMA
AAGNT: TANGA
AAGNW: WANGA
AAGNY: GAYAN
AAGPR: AGRAP
AAGSÂ: AGASÂ
AAGWÛ: AGAWÛ
AAHNN: ANHAN
AAIMT: AMATI
AAINS: ANASI
AAINÇ: ANAÇI
AAIPT: APATI
AAIRY: ARIYA
AAJKÛ: AKAJÛ
AAJLN: LAJAN
AAJLR: LARAJ
AAJLV: LAVAJ
AAJLW: LAJWA
AAJLY: ALYAJ
AAJMS: MASAJ
AAJNS: AJANS
AAJNW: ANJWA
       NAJWA
AAJNÇ: ANÇAJ
AAJPT: PATAJ
       TAPAJ
AAJPÛ: AJÛPA
AAKKM: MAKAK
AAKKO: KAKAO
AAKKS: KAKAS
AAKKZ: KAZAK
AAKLL: LAKAL
AAKLM: KALMA
AAKLN: KALAN
       KANAL
AAKLR: LARAK
AAKLW: LAKWA
AAKLY: LAKAY
AAKNN: ANKAN
       KANNA
AAKNS: AKSAN
AAKNV: KANVA
AAKNÛ: ANÛKA
AAKOV: AVOKA
AAKOW: AKAWO
AAKPW: KAPWA
AAKPY: KAPAY
AAKRT: TRAKA
AAKRW: KARAW
AAKRÑ: KARAÑ
AAKSV: KASAV
AAKSÂ: AKASÂ
AAKTY: TYAKA
AAKVY: KAVYA
AAKÇÔ: AKAÇÔ
AALLS: LASAL
AALLW: LALWA
AALMT: MATLA
AALMÊ: ALAMÊ
AALNP: PALAN
AALNT: TALAN
AALNV: LAVAN
       NAVAL
AALNÇ: ÇALAN
AALOS: ALASO
AALPW: PALWA
AALRT: LARAT
AALST: ATLAS
AALSV: SAVAL
AALSÇ: LAÇAS
AALTY: LATYA
       TYALA
AALTÇ: TÇALA
AALVW: LAVWA
       VWALA
AALVY: LAVAY
AALWY: WAYAL
AALWÛ: ALAWÛ
AAMNN: AMANN
AAMNR: RAMAN
AAMNÇ: ÇAMAN
AAMSY: MASAY
       MAYAS
AAMWZ: AMWAZ
AAMWÇ: MAÇWA
AANNP: ANPAN
AANNV: ANVAN
AANOW: AWONA
AANPR: PARAN
AANPS: PASAN
AANST: SATAN
AANSV: AVANS
AANTV: VANTA
AANTY: ANTAY
AANVW: AVWAN
