AAABKL: BAKALA
AAABKR: BAKARA
AAABLZ: ALABAZ
AAABNN: BANANA
AAABRT: TABARA
AAABTY: ATYABA
AAADRV: AVADRA
AAAFLW: ALAFWA
AAAFNZ: ANAFAZ
AAAGLT: GALATA
AAAGNS: AGASAN
AAAJLN: ALANAJ
AAAKLP: PAKALA
AAAKLT: ALATAK
AAAKNS: AKASAN
AAAKRW: ARAWAK
AAALMM: LAMAMA
AAALVW: AVALWA
AAAMRS: MARASA
AAAMÇÇ: MAÇAÇA
AAANPR: APARAN
AAANTT: ATANTA
AAANTÇ: ATAÇAN
AAANZZ: ZAZANA
AAAPST: SAPATA
AAAPTV: VATAPA
AAAPYY: PAYAYA
AAAYYY: AYAYAY
AABBDO: ABODAB
AABBIT: ABITAB
AABBKO: BABAKO
        KOBABA
AABBKÛ: KÛBABA
AABBRÂ: ÂBABRA
AABDEL: BALADE
AABDJN: BANDAJ
AABDJÛ: ABÛDJA
AABDLO: ABLADO
AABDNÔ: ABÔDAN
AABDOR: ADORAB
AABDSÂ: ÂBASAD
AABEGR: BAGARE
AABEKL: AKABLE
AABEKN: ANBAKE
AABEKR: KABARE
AABELN: ANBALE
AABENT: ANBATE
AABERÇ: RABAÇE
AABFKN: FABNAK
AABGLÂ: BÂGALA
AABGNO: ANBAGO
AABGVÔ: VAGABÔ
AABIKR: ARABIK
AABIKÇ: KABIÇA
AABIMN: ABIMAN
AABINT: ABITAN
AABINZ: ABIZAN
AABIPR: ABAPRI
AABJLÂ: ÂBALAJ
AABJZÂ: ÂBAZAJ
AABKLN: BANKAL
        LABANK
AABKLO: LABOKA
AABKLS: KALBAS
AABKNN: KABANN
AABKNR: BRANKA
AABKOZ: ZABOKA
AABKPÊ: ÊKAPAB
AABKRW: RAKBWA
AABKRÇ: ÇABRAK
AABKTÇ: BAKÇAT
AABKVÔ: VAKABÔ
AABKWÔ: AKWABÔ
AABKYÛ: BAYAKÛ
        KABÛYA
AABLMY: MABYAL
AABLNN: BANNAL
AABLNS: BALANS
AABLNÂ: ÂBALAN
        ANBALÂ
AABLNÇ: BLANÇA
AABLOV: LAVABO
AABLPÊ: LABAPÊ
AABLÂÇ: ÂBAÇAL
AABMNN: BAMANN
AABMNÛ: MANÛBA
AABMRÛ: MARABÛ
AABMYÂ: MAYÂBA
AABMYÛ: MABÛYA
AABNSS: ABSANS
AABNTV: BAVANT
AABNWZ: ANBWAZ
AABOWZ: AWOZAB
        OZABWA
AABRRÛ: BÛRARA
AABRVY: VARYAB
AABRVÂ: AVÂBRA
AABTWÇ: BWAÇAT
AADDMO: MADODA
AADEGL: ALEGAD
AADEJN: AJENDA
AADEJZ: JEDAZA
AADEKN: DEKANA
AADEKS: SAKADE
AADELL: DELALA
AADELN: ALADEN
AADEPT: ADAPTE
        APATED
AADGLN: ANGLAD
AADGVÂ: AVÂGAD
AADIKN: ANDAKI
AADILM: AMIDAL
        MALADI
AADINZ: DINAZA
AADIPR: PARADI
AADIRT: DARATI
AADIVY: DAYIVA
AADJMN: JANDAM
AADJNÂ: AJÂNDA
AADKKS: KASKAD
AADKLO: AKOLAD
AADKNR: KADRAN
AADKNS: KADANS
AADKOS: SAKADO
AADKPW: PADKWA
AADKWY: DYAKWA
AADKWZ: KWAZAD
AADLMO: ALAMOD
AADLNN: LADANN
AADLNS: SANDAL
AADLOP: PALADO
AADMMN: MADANM
AADMNY: DYAMAN
AADNNN: ANNDAN
AADNNP: PANDAN
AADNYÇ: ÇANDAY
AADPRÛ: RAPADÛ
AADTTÊ: ÊTATAD
AAEFGR: AGRAFE
AAEFJM: AFEMAJ
AAEFLN: ALAFEN
        ANFALE
AAEFNN: ANNAFE
AAEFNV: ANFAVE
AAEGJN: ANGAJE
AAEGNN: ANNEGA
AAEGNT: AGANTE
AAEGRV: AGRAVE
AAEGSW: ASAGWE
AAEJKS: SAKAJE
AAEJNR: ANRAJE
AAEJNT: AJANTE
AAEJNÇ: ANÇAJE
AAEJPS: PASAJE
AAEJPT: PATAJE
        TAPAJE
AAEJRV: RAVAJE
AAEKKN: ANKAKE
AAEKKY: KAKAYE
AAEKLM: AKLAME
AAEKMR: KAMERA
AAEKNP: KANAPE
AAEKNY: AKEYAN
AAEKRT: KARATE
AAELMN: ALAMEN
AAELMR: LAMARE
AAELNV: ALANVE
AAELTT: ALATET
AAEMTÇ: MAÇATE
AAENPR: ANPARE
AAENPT: APANTE
AAENPY: ANPAYE
AAENRT: ANRETA
AAENSS: ASANSE
        ASASEN
AAENSV: AVANSE
AAENSW: AWESAN
AAEPRS: APRESA
AAEPRT: ATRAPE
AAEPRY: APAREY
AAETVY: AVYATE
AAEWYÇ: ÇAWAYE
AAFILM: LAFAMI
AAFIMS: FAMASI
AAFINR: FARINA
AAFJMS: SAJFAM
AAFKWÇ: KWAÇAF
AAFLMN: FLAMAN
AAFLNN: FANNAL
AAFLST: ASFALT
AAFMTÛ: MAFÛTA
AAFNPR: FRAPAN
AAFNSW: SANFWA
AAFNSY: FAYANS
AAFRWÔ: FARAWÔ
AAGGIR: GAGARI
AAGGNN: GAGANN
        GANGAN
AAGIMN: AGIMAN
        MANIGA
AAGISY: GASIYA
AAGJLN: LANGAJ
AAGJLS: GLASAJ
AAGKNR: KARANG
AAGLMW: MAGLWA
AAGLMÂ: MALÂGA
AAGLNY: LAGANY
AAGMNÂ: AGÂMAN
        AGANMÂ
AAGMZÂ: MAZÂGA
AAGMZÊ: MAGAZÊ
        MAZÊGA
