AAABBMR: BAMBARA
AAABBNR: ANBABRA
AAABDNS: ANBASAD
AAABDPT: ADAPTAB
AAABGLN: BANGALA
AAABGLR: LAGRABA
AAABJLN: ANBALAJ
AAABJNZ: ANBAZAJ
AAABKLN: BAKANAL
AAABKLR: ALBARAK
AAABLMY: ALAMYAB
AAABLNN: ANBALAN
AAABLNÇ: ANBAÇAL
AAABLTW: LABATWA
AAABMNY: MAYANBA
AAABMRR: ABRARAM
AAABNRV: AVANBRA
AAABRYÇ: ÇARABYA
AAADGNV: AVANGAD
AAADJKL: KALADJA
AAADJKT: DJAKATA
AAADJNN: AJANNDA
AAADKMR: KAMARAD
AAAFKLT: KATAFAL
AAAGLMM: AMALGAM
AAAGLMN: MALANGA
AAAGLMW: LAMAGWA
AAAGMNN: AGANMAN
AAAGMNZ: MAZANGA
AAAGNRV: AGRAVAN
AAAGNWY: YAGWANA
AAAGRWZ: ZARAGWA
AAAINTZ: ATIZANA
AAAJKKN: JANKAKA
AAAJNTV: AVANTAJ
AAAKKTÇ: KAKAÇAT
AAAKLMN: ALMANAK
AAAKLNV: KANAVAL
AAAKLPT: KAPLATA
AAAKNST: KANTASA
AAAKPPZ: PAPZAKA
AAAKPRS: KARAPAS
AAAKPRT: KARAPAT
AAAKRTT: KATARAT
AAAKRTY: AKARYAT
AAALLPS: ALAPLAS
AAALLSV: LAVALAS
AAALMRY: MALARYA
AAALNTT: TALATAN
AAALNTÇ: ÇALATAN
AAALPPW: PAPALWA
AAALTTÔ: ALATATÔ
AAAMNPT: APATMAN
AAAMNTÇ: ATAÇMAN
AAANNNP: ANPANNA
AAANNNV: ANNAVAN
AAANNPS: ANPASAN
AAANNPT: ANPATAN
AAANPRS: APARANS
AAANPRT: ATRAPAN
AAANPRV: PARAVAN
AAANPTY: APANTAY
AABBDOY: BABYADO
AABBKNÛ: BABANKÛ
AABBLNS: SANBLAB
AABBLNÛ: BANBÛLA
AABBNOS: ABSOBAN
AABDEGR: DEGRABA
AABDESÂ: ÂBASADE
AABDIKR: BARIKAD
AABDIMR: ADMIRAB
AABDINN: BADINAN
AABDLMÂ: DÂMBALA
AABDNNO: ABONDAN
AABDNOP: PADONAB
AABDNSÔ: ABÔDANS
AABDORY: RABODAY
AABDRSÂ: ÂBRASAD
AABEFLT: ALFABET
AABEGRY: AGREYAB
AABEKNP: ENKAPAB
AABELMY: MALEYAB
AABELNP: LABAPEN
AABELNS: ASANBLE
         BALANSE
         SALANBE
AABELNY: LABANYE
AABELWY: WAYABEL
AABEMÇÔ: ABÔMAÇE
AABENNT: ANBETAN
AABENRS: ANBRASE
AABENST: ABSANTE
AABEPST: ASEPTAB
AABERSÂ: ÂBARASE
AABERVW: ABREVWA
AABETTY: TABATYE
AABGJOT: GABOTAJ
AABGNOV: VAGABON
AABIJRT: ABITRAJ
AABIJST: AJISTAB
AABIKKS: KABASIK
AABIKLN: ALANBIK
AABIKLP: APLIKAB
AABIKNR: KABRINA
         KARABIN
AABIKRY: KARAYIB
AABILLS: LASILAB
AABILRÇ: ÇALBARI
AABILYZ: BALIZAY
AABIMMN: MANIMBA
AABIMNT: BATIMAN
AABIRSY: RAYISAB
AABIRTÇ: ÇARITAB
AABJKOT: KABOTAJ
AABJLNN: JANBLAN
AABJLRÛ: LABÛRAJ
AABJLSÂ: ASÂBLAJ
AABKLNR: KANBRAL
AABKLSÛ: KALABÛS
AABKLWÛ: KABÛLAW
AABKLYÛ: KABÛLAY
AABKMNÂ: ÂBAKMAN
         ANBAKMÂ
AABKNOO: KAONABO
AABKNOV: VAKABON
AABKNOW: AKWABON
AABKNRÂ: KARABÂN
AABKOTW: AKWOBAT
AABKWYÊ: ÊKWAYAB
AABKYYÛ: KABÛYAY
AABLLNÊ: LABALÊN
AABLNNS: SANBLAN
AABLOPR: PARABOL
AABLOSW: ALABWOS
AABLSWÂ: BALÂSWA
AABMMYÂ: MAYÂMBA
AABMNNO: ABONMAN
AABMNNR: MANBRAN
AABNNNN: BANNANN
AABNNSY: ANBYANS
AABNOPT: BONAPAT
AABNOYÇ: ANBOÇAY
AABNTVÂ: ÂBAVANT
         ANBAVÂT
AABNWYÔ: BAYAWÔN
AABRSÂÂ: ÂBARASÂ
AADDEJN: ADJEDAN
AADDENN: ANDEDAN
AADDIJN: ADJIDAN
AADDIKN: KANDIDA
