AAABDENS: ANBASADE
AAABDKRÛ: BARAKÛDA
AAABDLMN: DANMBALA
AAABDNRS: ANBRASAD
AAABEKLR: KARABELA
AAABEKRÇ: KARABAÇE
AAABENRS: ANBARASE
AAABJLNS: ASANBLAJ
AAABKLLÂ: ÂBALAKAL
AAABKMNN: ANBAKMAN
AAABKNNR: KARABANN
AAABLNSW: BALANSWA
AAABMMNY: MAYANMBA
AAABNNTV: ANBAVANT
AAABNRSÂ: ÂBARASAN
          ANBARASÂ
AAADGLNV: LAVANGAD
AAADGLPW: LAGWADAP
AAADKLMN: MAKANDAL
AAADKMNR: KANMARAD
AAADKMRS: MASKARAD
AAADLMTW: MALADWAT
AAAEJNTV: AVANTAJE
AAAEKRVÇ: KARAVAÇE
AAAELMWY: AMWALAYE
AAAGJMNN: ANGAJMAN
AAAGKKLS: KAKAGLAS
AAAGLNPY: GALAPYAN
AAAGMNNN: ANGANMAN
AAAGNPPR: GRANPAPA
AAAIKNTW: ANAKAWIT
AAAIKNTY: ANAKAYIT
AAAILNTZ: ATIZANAL
AAAILPPS: PASIPALA
AAAIMMZZ: MAZIMAZA
AAAIMNRW: MARIWANA
AAAINSSY: ASASINAY
AAAIPPTT: PATIPATA
AAAJKKKO: KAKAJAKO
AAAJMNNR: ARANJMAN
AAAKLPST: KATAPLAS
AAAKLSSS: LASKASAS
AAALNNRT: ALANTRAN
AAALNOTT: ALATATON
AAALNPRS: LAPARANS
AAALNPRT: ALATRANP
AAALNPST: PLASANTA
AAALOPPT: ALAPAPOT
AAAMMNNN: AMANNMAN
AAAMNNSV: AVANSMAN
AAAMOPPR: PAPARAMO
AAANNNNP: ANPANNAN
AAANNNNZ: ZANNANNA
AAANNNSV: ANNAVANS
AAANNPTZ: ZAPATANN
AAANOPRY: PARANOYA
AAANRTVY: TRAVAYAN
AABBDIOY: BOBADIYA
AABBDMNÔ: BÔBADMAN
AABBILNY: BANBILAY
AABBIMNO: ABOMINAB
AABBKSTÛ: BÛSTABAK
AABDDEEK: DEBAKADE
AABDDEFN: DEFANDAB
AABDDENY: DEBANDAY
AABDEERS: DEBARASE
AABDEGRÂ: ÂDEGRABA
AABDEKLN: KANDELAB
AABDEKMN: DEBAKMAN
AABDELNY: ANDYABLE
AABDEMNT: DEBATMAN
AABDENNO: ABANDONE
AABDIKNS: ANBISKAD
AABDILSY: ALSIBYAD
AABDNNOS: ABONDANS
AABDNNOÊ: ABANDONÊ
AABDNOSW: BWOSADAN
AABEEKRR: KAREBARE
AABEGLWY: GWAYABEL
AABEIKRT: KABIRATE
AABEILNR: BALERINA
AABEJKSÛ: BAJÛKASE
AABEJMTÂ: TABAMÂJE
AABEJNRY: ANBREYAJ
AABEKNWY: ENKWAYAB
AABEKPST: AKSEPTAB
AABELLNN: LABALENN
AABELNRS: RASANBLE
AABEMNOÇ: ABONMAÇE
AABEPRSY: APRESYAB
AABFNRWZ: FRANBWAZ
AABGHNNR: BRANHANG
AABIJNST: JANBATIS
AABIKKLS: KALBASIK
AABIKNRY: KRABINAY
AABIKRRÂ: ARÂBARIK
AABILNNS: ANBILANS
          BALANSIN
AABILRTV: BATRAVIL
AABIMNST: BATISMAN
AABISTYÔ: ABITASYÔ
AABKLNTÂ: BATÂKLAN
          BATANKLÂ
AABKLOSW: KWABOSAL
AABKLTWÛ: BLAKAWÛT
AABKNOOW: KAWONABO
AABKNTYÛ: BÛKANTAY
AABLMNNÔ: BALÔNMAN
AABLNNPT: PLATBANN
AABMNNZÂ: BANZÂMAN
          BANZANMÂ
          BÂZANMAN
AABMNPYÛ: MAPYANBÛ
AABMRSÂÂ: ÂBARASMÂ
AABNNNWÊ: BWANANNÊ
AABNNOWY: BAYAWONN
AABRSTYÊ: BATRASYÊ
AADDEETW: ETADEDWA
AADDEGNR: DEGRADAN
AADDEKNS: DEKADANS
AADDJJNN: DJANDJAN
AADDNNRR: DRANDRAN
AADDNNYY: DYANDYAN
AADEEJKK: KADEJAKE
AADEEJPT: DEPATAJE
AADEFIMT: DIFAMATE
AADEGJMN: GADMANJE
AADEGMNN: ANMEGDAN
AADEGNRY: GRENADYA
AADEIKKM: AKADEMIK
AADEIKNP: ANDIKAPE
AADEIMRT: ADMIRATE
AADEJNNR: ANJANDRE
AADEJNPT: DJETAPAN
AADEKLNS: ESKANDAL
AADEKLNV: VALKANDE
AADEKLRT: KATEDRAL
AADEKNNY: KANADYEN
AADELMNN: LADEMANN
          MANNDELA
AADELNOS: ADOLESAN
AADELNST: LADESANT
AADEMNPT: DEPATMAN
AADENTYZ: ANTDEZAY
AADFMNNÂ: FÂDANMAN
          FANDÂMAN
          FANDANMÂ
AADGINTV: DATIGNAV
AADGLNOY: DYAGONAL
AADIJKNÔ: ADJANIKÔ
AADIJMNN: DANMIJAN
AADIJMNR: JANDAMRI
AADIKNYÔ: ADYANIKÔ
AADIMNNR: MANDARIN
AADIMNPR: RAPIDMAN
AADIMNPT: PIMANTAD
AADIMNZÇ: MAÇANDIZ
AADINNRS: ANDIRANS
AADINNRT: DIRANTAN
AADINPPY: DAPIYANP
AADINSTV: ADVANTIS
AADINSWZ: SWADIZAN
AADJMMNO: DOMAJMAN
AADJMNNZ: DJAZMANN
AADKMNNO: KOMANDAN
AADKMNNÔ: KÔMANDAN
AADKOPRS: PARADOKS
AADLMNRÊ: MALANDRÊ
AADMNNOS: DASOMANN
AADMNNSÔ: ADANMSÔN
AADNNTÂÂ: ÂNATÂDAN
          ÂNATANDÂ
          ANNATÂDÂ
AADNRSYÎ: RANDÎSAY
AADOPRSY: DYASPORA
AADORSYÔ: ADORASYÔ
AAEEFNRY: ARYENAFE
AAEEKLSZ: ALKASEZE
AAEELNTT: ALTENATE
AAEELNTW: ANETWALE
AAEFKNNN: ANFANNKE
AAEFLMNZ: MALFEZAN
AAEFLNNT: NAFTALEN
AAEFMNPT: PAFETMAN
AAEFMNSY: FAMASYEN
AAEFNNNT: ANFANTEN
AAEFNRYÛ: ANFÛRAYE
AAEGGNNN: GAGANNEN
AAEGINTV: NAVIGATE
AAEGJNNR: ANGRENAJ
AAEGKLOT: KATALOGE
AAEGLLRT: LAGRATEL
AAEGNTWZ: WANGATEZ
AAEIJRST: ATERISAJ
AAEIKLNV: EKIVALAN
AAEIKPST: KAPASITE
AAEILMNT: ALIMANTE
AAEILPRV: PALAVIRE
AAEILPRZ: PARALEZI
          PARALIZE
AAEILRTÇ: LAÇARITE
AAEIMNYZ: MAYIZENA
AAEINNTY: ANEYANTI
AAEINPST: APETISAN
AAEINRTV: AVANTIRE
AAEIPRST: ASPIRATE
AAEIRSTY: ATERISAY
AAEJKLSV: ESKLAVAJ
AAEJKNRÛ: ANKÛRAJE
AAEJLMSÂ: SALAMÂJE
AAEKLNNS: ALEKSANN
AAEKLNOS: ALEKONSA
AAEKLNSV: VALKANSE
AAEKLNSY: AKANSYEL
AAEKLSVY: ESKLAVAY
AAEKMNNP: PAKEMANN
AAEKMNRS: SAKREMAN
AAEKNNWY: ENKWAYAN
AAEKNOPY: AKONPAYE
AAEKNPRY: PANKREYA
AAELMNNT: LANTEMAN
AAELMNPT: PALMANTE
AAELMNVY: MALVEYAN
AAELMSTY: MATLASYE
AAELNNTY: LATANYEN
AAELNPST: PLASENTA
AAELNPTT: PANTALET
AAELNPWY: ANPLWAYE
AAELNVZÛ: ALEVÛZAN
AAELPSTW: PATASWEL
AAELRTTY: TEYATRAL
AAEMNNPS: PEMANANS
AAEMNNPT: PEMANANT
AAEMNNPÇ: ANPEÇMAN
AAEMNNSY: ANSEYMAN
AAEMNPYÊ: PANAMEYÊ
AAEMNSTT: TESTAMAN
AAEMNSZÔ: ASEZÔMAN
AAEMTWYY: TEMWAYAY
AAENNNPP: ANPENPAN
AAENNPSY: ENPASYAN
AAENNRTT: ANTRETAN
AAENOSYZ: ASEZONAY
AAENPRTZ: PARANTEZ
AAENPSTY: SAPANTYE
AAENPTYÇ: ÇAPANTYE
AAENRVWY: RANVWAYE
AAFFIIMT: AFIMATIF
AAFGILLN: FILALANG
AAFGMNOR: GRANFOMA
AAFIKLST: LAKSATIF
AAFIKNNT: FANNATIK
