AAAABMNNRS: ANBARASMAN
AAAADNNNNT: ANNATANDAN
AAAAKKLMMN: ANMALMAKAK
AAABDELNWÔ: ALAWÔNBADE
AAABDINRSS: ANBASADRIS
AAABDKNOVY: VAKABONDAY
AAABDLLNRT: LATRANBLAD
AAABEKLORY: BAKALOREYA
AAABFLNNWY: FLANBWAYAN
AAABIKMNOT: KOTIBANAMA
AAABINNTTV: ANBATIVANT
AAADDIMNNR: NADMARINAD
AAADEJLMMN: DEMAJANMAL
AAADEJNTVZ: DEZAVANTAJ
AAADEKLSSZ: DELASKAZAS
AAADEKMNNR: ANKADREMAN
AAADEPRVWZ: DAPREZAVWA
AAADFLMNNÂ: ÂMALDANFAN
            ANMALDÂFAN
            ANMALDANFÂ
AAADFLMNTÔ: FÔDAMANTAL
AAADNNNPST: PANDANSTAN
AAADNOPSTY: ADAPTASYON
AAAEGMNNPT: PEMANGANAT
AAAEMNNNPS: ANPEMANANS
AAAEMNNPRT: TANPERAMAN
AAAEPPRRTW: PREPARATWA
AAAFILNNTT: NATIFNATAL
AAAFINNTYY: ANFANTIYAY
AAAFLMNSYÔ: ANFLAMASYÔ
AAAGIKLMRT: GRAMATIKAL
AAAIMNNSVY: ANVAYISMAN
AAAIMRSTYÂ: SÂTAMARIYA
AAAINPRSTY: APRANTISAY
AAAJKMNNRÛ: ANKÛRAJMAN
AAAKLMNOSY: AKLAMASYON
AAAMNNPWZÔ: ANPWAZÔMAN
AAANNPRRST: TRANSPARAN
AABBENRRYZ: ZARYENBRAB
AABDEEGRYZ: DEZAGREYAB
AABDINNSYÔ: ANBANDISYÔ
AABEEFILTZ: ALFABETIZE
AABEGNNOSY: ABNEGASYON
AABEHKNOZÇ: ÇEHKOBANZA
AABEILMNNS: ANBELISMAN
AABEILMNTY: ABITYELMAN
AABEILMRTV: LAMVERITAB
AABEINSSTY: ABSANTEYIS
AABEJJNNRT: JANJANBRET
AABEKLNNST: SALTENBANK
AABEKMNNRÔ: ANKÔBREMAN
AABELMNRSÂ: RASÂBLEMAN
            RASANBLEMÂ
AABIMNOSYÔ: ABOMINASYÔ
AADDEENNNP: ENDEPANDAN
AADDEGRSYÔ: DEGRADASYÔ
AADDEJMMNO: DEDOMAJMAN
AADDEMNOOY: ANDODOMEYA
AADDENNPSÊ: ÊDEPANDANS
AADDMMNNYY: DYANMDYANM
