AAAADFLMNNN: ANMALDANFAN
AAAAIMNRSTY: SANTAMARIYA
AAABDELNNOW: ALAWONNBADE
AAABELMNNRS: RASANBLEMAN
AAADEEJNTVZ: DEZAVANTAJE
AAADELMNPTT: DEPATMANTAL
AAADENNNTTZ: DETANZANTAN
AAADFLMNNOT: FONDAMANTAL
AAADGIMNNRS: AGRANDISMAN
AAAFLMNNOSY: ANFLAMASYON
AAAILMNSTYÔ: ALIMANTASYÔ
AAAMNNNOPWZ: ANPWAZONMAN
AABDINNNOSY: ANBANDISYON
AABEILMNRST: RETABLISMAN
AABEIRSVYYÔ: ABREVIYASYÔ
AABEKMNNNOR: ANKONBREMAN
AABEKMORRYZ: KRABMAZOREY
AABIMNNOOSY: ABOMINASYON
AADDEENNNPS: ENDEPANDANS
AADDEGNORSY: DEGRADASYON
AADDIILPSYÔ: DILAPIDASYÔ
AADEEEFFLNN: ALAFENDEFEN
AADEEILPPPR: PARALEPIPED
AADEFIMNRSW: REFWADISMAN
AADEGKRSSYÔ: AKSYÔDEGRAS
AADEIKRSTYÔ: AKREDITASYÔ
AADEILLNRSV: LADELIVRANS
AADEIMNOSTW: DIMATENOSWA
AADEKLNORSY: DEKLARASYON
AADELNORSVY: SALVADORYEN
AADENOSSTVY: DEVASTASYON
AADFGIKLORT: DAKTILOGRAF
AADKNNNOOSY: KONDANASYON
AAEEGKLMTTW: GWATEMALTEK
AAEEGNOTTWW: ENTEWOGATWA
AAEEIKLLRTW: EKWILATERAL
AAEEIMMNTTV: VITAMETENAM
AAEEJKRSYZÔ: EKZAJERASYÔ
AAEEKLRSSYÔ: AKSELERASYÔ
AAEELMNPSSY: ESPESYALMAN
AAEENNPRRTZ: REPREZANTAN
AAEFIILMRYZ: FAMILYARIZE
AAEFIMNRRSÇ: RAFREÇISMAN
AAEFKNRSTYÔ: FREKANTASYÔ
AAEFLMNNOSY: ENFLAMASYON
AAEFMNNOSTY: FEMANTASYON
AAEFMNORSTT: TRANSFOMATE
AAEFNNOSTTY: FETATANSYON
AAEGIKNRWYÊ: NIKARAGWEYÊ
AAEGIMNSYZÔ: EGZAMINASYÔ
AAEIKKLLNSW: KELKILANSWA
AAEIKMNSYZÔ: EKZAMINASYÔ
AAEILNNOSTY: NASYONALITE
AAEILNNOSYZ: NASYONALIZE
AAEILNOSVYY: EVALIYASYON
AAEIMMSTTYÊ: MATEMATISYÊ
AAEIMNNPRST: PRESANTIMAN
AAEIMNPSSYÔ: EMANSIPASYÔ
AAEIPRSSYYÔ: APRESIYASYÔ
AAEKLMNORSY: REKLAMASYON
AAEKMMNNTTÔ: MEKÔTANTMAN
AAELMNOSSVY: MALVESASYON
AAELMORSYYÔ: AMELYORASYÔ
AAELNNOSSTY: ENSTALASYON
AAENNNNOPWZ: ANPWAZONNEN
AAENOOPRSVY: EVAPORASYON
AAENOPPRRSY: PREPARASYON
AAENPRSTYZÔ: PREZANTASYÔ
AAFIKKOSTTW: KATASTWOFIK
AAFIKSSSTYÔ: SATISFAKSYÔ
AAFNNOOPSWY: PWOFANASYON
AAGMOPRSWYÔ: PWOGRAMASYÔ
AAGNOOPPSWY: PWOPAGASYON
AAIIJMNNOSY: IMAJINASYON
AAIIKKLLRST: KALKILATRIS
AAIIKORRSST: ARISTOKRASI
AAIILNNOSSY: ALISINASYON
AAIKLMNNOPS: AKONPLISMAN
AAIKMMNOOTT: OTOMATIKMAN
AAIKMNNNOST: KONSANTIMAN
AAIKMNSTYÔÔ: KÔTAMINASYÔ
AAIKNNOSSVY: VAKSINASYON
AAILMNOSTYÂ: ALIMÂTASYON
AAILMNPPRSÊ: PRÊSIPALMAN
AAILNOPPSTY: PALPITASYON
AAIMNNNPRZÔ: ANPRIZÔNMAN
AAIMNOPVWWZ: PWOVIZWAMAN
AAINOOSSSYY: ASOSIYASYON
AAKLMOPSWYÔ: PWOKLAMASYÔ
AAKMNNOTWÇÛ: KAWOTÇÛMANN
AAKNNORSTYZ: TRANZAKSYON
AAKNRSSTYÔÔ: KÔSANTRASYÔ
AAKNRSTVYÔÔ: KÔTRAVANSYÔ
AANNOORSTYY: ORYANTASYON
ABBBEIOORRT: TRIBOREBABO
ABBEIILOPTW: PWOBABILITE
ABDEEIILMNT: DEMANTIBILE
ABDEEIILSTZ: DESTABILIZE
ABDEEINNPSS: ENDISPENSAB
ABDEEINOSYZ: DEZOBEYISAN
ABEEILPRRST: PRESBITERAL
ABEIIIKLLPT: KILPABILITE
ABEIIILNSST: SANSIBILITE
ABEINNOSSVY: SIBVANSYONE
ABFIIKSYZÔÔ: ZÔBIFIKASYÔ
ABIIJLNOORY: ANBRIYOLOJI
ABIIKLNOPSY: PIBLIKASYON
ABIIKLOPRTV: TRAVOPIBLIK
ABIILNORSTY: TRIBILASYON
ABIKLMOTTÛÛ: KOMATIBÛLÛT
ADDEEELNSTY: DESANTDELYE
ADDEEGIKNNN: KINDEGADENN
ADDEEILNVWÔ: LAVIWÔNDEDE
ADDEEINNRSV: VANDREDISEN
ADDEELNNPSÊ: LÊDEPENDANS
             LENDEPÊDANS
ADDEENPSTÊÊ: ÊTEDEPÊDANS
ADDEGGLNORÊ: DEGRÊNGOLAD
ADDIIILSVYÊ: ÊDIVIDYALIS
ADEEEFKNNTZ: DEZENFEKTAN
ADEEEFNPRRS: DEPREFERANS
ADEEEKNPRST: DERESPEKTAN
ADEEELOPTTY: DELATETOPYE
ADEEFILNRSY: DIFERANSYEL
ADEEFKRSYÔÔ: KÔFEDERASYÔ
ADEEGLNPWYÛ: GWADLÛPEYEN
ADEEIIKLNPP: PEPANDIKILE
ADEEIJMNNSW: JASMENDENWI
ADEEIKMNRTÊ: ÊDIREKTEMAN
