AAAAGGIKKNRW: GWAKANAGARIK
AAABKLOSSWYÊ: LASKAWOBASYÊ
AAAEGLLMOPRR: PARALELOGRAM
AAAEKPRTTWWÊ: PWÊTARAKETWA
AAAILMNNOSTY: ALIMANTASYON
AABBDDEGIORY: BIYODEGRADAB
AABDEOPSWYZÔ: DEZAPWOBASYÔ
AABEEKKNNRYÛ: BÛKANKAREYEN
AABEINORSVYY: ABREVIYASYON
AABEKLMORRYZ: KRABMALZOREY
AADDEIRSTYZÔ: DEZIDRATASYÔ
AADDIILNOPSY: DILAPIDASYON
AADEEILLNNSY: LADESALINYEN
AADEEILNRSTZ: DESANTRALIZE
AADEGKNORSSY: AKSYONDEGRAS
AADEIIMNRSTT: ADMINISTRATE
AADEIKNORSTY: AKREDITASYON
AADEIKNRSVYÔ: REVANDIKASYÔ
AADEKMNORSYÔ: REKOMANDASYÔ
AADFGIIKLORT: DAKTILOGRAFI
AADIKMNOSTYÔ: DOKIMANTASYÔ
AADILMSYYZÔÔ: MÔDYALIZASYÔ
AAEEGIKNNRWY: NIKARAGWEYEN
AAEEIMMNSTTY: MATEMATISYEN
AAEEJKNORSYZ: EKZAJERASYON
AAEEKLNORSSY: AKSELERASYON
AAEEKLNSSSYÛ: SEKALASÛSYEN
AAEFKNNORSTY: FREKANTASYON
AAEGIMNNOSYZ: EGZAMINASYON
AAEIKKMNOSST: MANSIKATOEKS
AAEIKMNNOSYZ: EKZAMINASYON
AAEILMNNPPRS: PRENSIPALMAN
AAEIMNNOPSSY: EMANSIPASYON
AAEINOPRSSYY: APRESIYASYON
AAEKLPSSTWYÔ: EKSPLWATASYÔ
AAEKMMNNNOTT: MEKONTANTMAN
AAELMNOORSYY: AMELYORASYON
AAENNOPRSTYZ: PREZANTASYON
AAFGIIKRSTYÔ: GRATIFIKASYÔ
AAFIIKKLSSYÔ: KLASIFIKASYÔ
AAFIIKLNPSYÔ: PLANIFIKASYÔ
AAFIKNOSSSTY: SATISFAKSYON
AAGMNOOPRSWY: PWOGRAMASYON
AAIIPRSTVYZÔ: PRIVATIZASYÔ
AAIKMNNOSTYÔ: KONTAMINASYÔ
              KÔTAMINASYON
