AAABEFILSTYZÔ: ALFABETIZASYÔ
AABDENOOPSWYZ: DEZAPWOBASYON
AABEELMNNNRTT: TRANBLEMANNTE
AADDEINORSTYZ: DEZIDRATASYON
AADEIKKMMNORT: DEMOKRATIKMAN
AADEIKMNSTYÔÔ: DEKÔTAMINASYÔ
AADEIKMSTYZÔÛ: DEMAKÛTIZASYÔ
AADEIKNNORSVY: REVANDIKASYON
AADEIMNNSSWYZ: SWASANNDIZYEM
AADEKMNNOORSY: REKOMANDASYON
AADFIIIKNSTYÔ: IDANTIFIKASYÔ
AADFIIIMNRSTT: ADMINISTRATIF
AADIILOPSSYZÔ: ALADISPOZISYÔ
AADIIMNRSSTYÔ: ADMINISTRASYÔ
AADIKMNNOOSTY: DOKIMANTASYON
AADILMNOSYYZÔ: MÔDYALIZASYON
               MONDYALIZASYÔ
AAEEIJMNNRRST: ANREJISTREMAN
AAEIIKKKRRSTT: KARAKTERISTIK
AAEIIKMMNSSTT: SISTEMATIKMAN
AAEKLNOPSSTWY: EKSPLWATASYON
AAFGIIKNORSTY: GRATIFIKASYON
AAFIIKKLNOSSY: KLASIFIKASYON
AAFIIKLNNOPSY: PLANIFIKASYON
AAIIKMNOPRTTY: PATRIYOTIKMAN
AAIINOPRSTVYZ: PRIVATIZASYON
AAIKMNNNOOSTY: KONTAMINASYON
AAIMNNORSSTYY: MANSTRIYASYON
AAINNOPRRSSTY: TRANSPIRASYON
AAKNNNOORSSTY: KONSANTRASYON
AAKNNNOORSTVY: KONTRAVANSYON
ABDEEIKLNNOSY: LABENEDIKSYON
ABDEIILMOSYZÔ: DEMOBILIZASYÔ
ABEEIIKLRSSTÔ: RESKÔSABILITE
ABEEIILPRSSTÔ: RESPÔSABILITE
ABEEILNOPRSST: RESPONSABLITE
ABFIIKNNOOSYZ: ZONBIFIKASYON
ADDEEEENNNPST: ENTEDEPENDANS
ADDEEFIIIKSTT: SETIFIKADETID
ADEEEGNRSTYZÔ: DEZENTEGRASYÔ
ADEEFKNNOORSY: KONFEDERASYON
ADEEFMNNOOSYZ: DEZENFOMASYON
ADEEGNORSTYZÊ: DEZÊTEGRASYON
ADEEIKMNNSTTÊ: ÊDISTENKTEMAN
               ENDISTÊKTEMAN
ADEEIKMRTVYZÊ: KATREVÊDIZYEM
ADEEINOPRSSYY: DEPRESIYASYON
ADEEKLMNNOOSY: MEKONDOLEYANS
ADEENOORRSTYY: DETERYORASYON
ADEFIIRSSYYÂÔ: DIFERÂSIYASYÔ
ADEIIILRSTYZÊ: ÊDISTRIYALIZE
ADEIKKNORSTYÔ: AKDEKONTRISYÔ
               AKDEKÔTRISYON
ADEINNNOOSSYY: DENONSIYASYON
ADEMNNOORSSTY: DEMONSTRASYON
ADFIIIKNOSTYÂ: IDÂTIFIKASYON
ADIKKNNOORSTY: KONTRADIKSYON
AEEIIILPRSTTY: ESPIRITYALITE
AEEIILRSSTYZÔ: ESTERILIZASYÔ
AEEIJLLSVYZÂÔ: LEVÂJELIZASYÔ
AEEIKMNNOSSTY: EKSTEMINASYON
AEEIMNOPRSTTY: REPATIMYENTOS
AEFIIKKNORSTY: REKTIFIKASYON
AEIIKMNNNORSY: ENKRIMINASYON
AEIINOPPRSSTY: PRESIPITASYON
AEINNOOPSVWYZ: ENPWOVIZASYON
AEKNNNOOPRSYY: KONPREYANSYON
AFIIIKMNOSSTY: MISTIFIKASYON
AIIIKLLMPSTYÔ: MILTIPLIKASYÔ
AIIINOPPRTTÂÇ: OPIPIRITÇANTÂ
               OPIPIRITÇÂTAN
AIIKLLNOOSTYÂ: ÂTIKOLONYALIS
BDEEIIILSYZZÔ: DESIZYÔBILIZE
DEEEIKMNNSTTÂ: ENDISTENKTEMÂ
DEIINNOOPSSYZ: ENDISPOZISYON
DEIKNNOOOPSYZ: DEKONPOZISYON
EEEGMNNNNNPRÔ: GRENNPÔMENNEN
EEGMNNNNNOPRÊ: GRENNPONMÊNEN
               GRENNPONMENNÊ
               GRÊNPONMENNEN
EEGMNNNNOPRWÊ: GRENNPWOMÊNEN
               GRENNPWOMENNÊ
               GRÊNPWOMENNEN
EEIILNNOSSTTY: ENSTITISYONEL
