AAAACCPR: ACCAPARA
AAAACPRT: CARAPATA
AAAADMSW: ADAMAWAS
AAAADNPS: APADANAS
AAAAEGNP: APANAGEA
AAAAGLMM: AMALGAMA
AAAAHJMR: MAHARAJA
AAAAHMNY: MAHAYANA
AAAAIMPR: ARAPAIMA
AAAAKKNT: KATAKANA
AAAAMMTT: MATAMATA
AAAARTTT: TARATATA
AAABBILT: ABBATIAL
AAABBITT: ABBATIAT
AAABBLLT: BLABLATA
AAABBMRS: BAMBARAS
AAABCCER: CACABERA
AAABCCIL: ACCABLAI
AAABCCIS: CACABAIS
AAABCCIT: CACABAIT
AAABCCLM: CALAMBAC
AAABCCLS: ACCABLAS
AAABCCLT: ACCABLAT
AAABCCNT: CACABANT
AAABCCRS: BACCARAS
AAABCCRT: BACCARAT
AAABCDLU: CLABAUDA
AAABCDTU: BATUCADA
AAABCELR: CABALERA
AAABCENN: ENCABANA
AAABCENR: CABANERA
AAABCHIR: CHARABIA
          RABACHAI
AAABCHLS: CHABALAS
AAABCHRS: RABACHAS
AAABCHRT: RABACHAT
AAABCHST: BACHATAS
AAABCILM: CAMBALAI
AAABCILN: BALANCAI
AAABCILS: CABALAIS
AAABCILT: CABALAIT
AAABCIMN: AMBIANCA
AAABCINS: CABANAIS
AAABCINT: CABANAIT
AAABCIRS: ARABICAS
AAABCITT: CIABATTA
AAABCLMS: CAMBALAS
AAABCLMT: CAMBALAT
AAABCLNS: BALANCAS
AAABCLNT: BALANCAT
          BATACLAN
          CABALANT
AAABCNNT: CABANANT
AAABCNRU: CARNAUBA
AAABCPRY: CAPYBARA
AAABDDIS: BADADIAS
AAABDDIU: BADAUDAI
AAABDDSU: BADAUDAS
AAABDDTU: BADAUDAT
AAABDELR: BALADERA
AAABDGIM: GAMBADAI
AAABDGMS: GAMBADAS
AAABDGMT: GAMBADAT
AAABDILS: BALADAIS
AAABDILT: BALADAIT
AAABDIRT: ABATARDI
AAABDIRV: BAVARDAI
AAABDIRZ: BAZARDAI
AAABDISZ: BAZADAIS
AAABDJOS: JABADAOS
AAABDLMS: LAMBADAS
AAABDLNT: BALADANT
AAABDNNS: BANDANAS
AAABDRSS: BARDASSA
AAABDRSV: BAVARDAS
AAABDRSZ: BAZARDAS
AAABDRTV: BAVARDAT
AAABDRTZ: BAZARDAT
AAABEGLY: BALAYAGE
AAABEGST: ABATAGES
AAABEGTT: ABATTAGE
AAABEHNR: HABANERA
AAABEILR: BALAIERA
AAABELLV: AVALABLE
AAABELMR: MALABARE
AAABELRT: ABLATERA
AAABELRY: BALAYERA
AAABENNR: BANANERA
AAABENPR: PANARABE
AAABENRS: BASANERA
AAABEPRS: PARABASE
AAABERRS: ABRASERA
AAABFFLU: AFFABULA
AAABFILR: BALAFRAI
AAABFLLS: FALBALAS
AAABFLRS: BALAFRAS
AAABFLRT: BALAFRAT
AAABGIIR: GABARIAI
AAABGIRR: BAGARRAI
AAABGIRS: GABARIAS
AAABGIRT: GABARIAT
AAABGLNS: BANGALAS
AAABGRRS: BAGARRAS
AAABGRRT: BAGARRAT
AAABGRTU: RUTABAGA
AAABHINU: HAUBANAI
AAABHNSU: HAUBANAS
AAABHNTU: HAUBANAT
AAABIIRS: ARABISAI
AAABIISS: ABAISSAI
AAABILLT: BATAILLA
AAABILNS: ALBANAIS
          BANALISA
AAABILPR: PALABRAI
AAABILST: ABLATAIS
AAABILSY: BALAYAIS
AAABILTT: ABLATAIT
          ATTABLAI
AAABILTY: BALAYAIT
