AAAABIKLL: BALALAIKA
AAAABJLMY: JAMBALAYA
AAAACCDLV: CAVALCADA
AAAACCIPR: ACCAPARAI
AAAACCPRS: ACCAPARAS
AAAACCPRT: ACCAPARAT
AAAACDGNR: ACAGNARDA
AAAACDHLN: ACHALANDA
AAAACDIMM: MACADAMIA
AAAACDJNR: JACARANDA
AAAACIPRT: CARAPATAI
AAAACIRRU: ARAUCARIA
AAAACLNRT: ALCANTARA
AAAACLRSZ: ALCARAZAS
AAAACMNRT: CATAMARAN
AAAACPRST: CARAPATAS
AAAACPRTT: CARAPATAT
AAAADHJMR: MAHARADJA
AAAADLLMN: ALLAMANDA
AAAAEGINP: APANAGEAI
AAAAEGNPR: APANAGERA
AAAAEGNPS: APANAGEAS
AAAAEGNPT: APANAGEAT
AAAAEGNTV: AVANTAGEA
AAAAGILMM: AMALGAMAI
AAAAGLMMS: AMALGAMAS
AAAAGLMMT: AMALGAMAT
AAAAHHJMR: MAHARAJAH
AAAAHJMRS: MAHARAJAS
AAAAHMNSY: MAHAYANAS
AAAAIMPRS: ARAPAIMAS
AAAAJNRVY: VAJRAYANA
AAAAKKNST: KATAKANAS
AAAALLMMY: MALAYALAM
AAAAMMSTT: MATAMATAS
AAABBBLLL: BLABLABLA
AAABBCENR: BARBACANE
AAABBEILT: ABBATIALE
AAABBELTT: ABATTABLE
AAABBILLT: BLABLATAI
AAABBIMNS: MBABANAIS
AAABBIRRS: BARBARISA
AAABBITUX: ABBATIAUX
AAABBLLST: BLABLATAS
AAABBLLTT: BLABLATAT
AAABCCEIR: CACABERAI
AAABCCELR: ACCABLERA
AAABCCEMS: CACABAMES
AAABCCERS: CACABERAS
AAABCCESS: CACABASSE
AAABCCEST: CACABATES
AAABCCHLN: BACCHANAL
AAABCCILS: ACCABLAIS
AAABCCILT: ACCABLAIT
AAABCCLMS: CALAMBACS
AAABCCLNT: ACCABLANT
AAABCCRST: BACCARATS
AAABCDHMR: CHAMBARDA
AAABCDILU: CLABAUDAI
AAABCDIRR: BARRICADA
AAABCDLSU: CLABAUDAS
AAABCDLTU: CLABAUDAT
AAABCDNRR: BRANCARDA
AAABCDRRU: BARRACUDA
AAABCDSTU: BATUCADAS
AAABCEGHR: RABACHAGE
AAABCEHRR: RABACHERA
AAABCEILR: CABALERAI
AAABCEINN: ENCABANAI
AAABCEINR: CABANERAI
AAABCELMR: CAMBALERA
AAABCELMS: CABALAMES
AAABCELNR: BALANCERA
AAABCELRS: CABALERAS
AAABCELSS: CABALASSE
AAABCELST: CABALATES
AAABCEMNS: CABANAMES
AAABCEMRT: CARBAMATE
AAABCENNS: ENCABANAS
AAABCENNT: ENCABANAT
AAABCENRS: CABANERAS
           SARBACANE
AAABCENSS: CABANASSE
AAABCENST: CABANATES
AAABCHIRS: CHARABIAS
           RABACHAIS
AAABCHIRT: RABACHAIT
AAABCHNRT: RABACHANT
AAABCIIMN: AMBIANCAI
AAABCILMS: CAMBALAIS
AAABCILMT: CAMBALAIT
AAABCILNS: BALANCAIS
AAABCILNT: BALANCAIT
AAABCILRS: CALABRAIS
AAABCIMNS: AMBIANCAS
AAABCIMNT: AMBIANCAT
AAABCINRS: BANCARISA
AAABCINTT: ANTITABAC
AAABCISTT: CIABATTAS
AAABCLMNT: CAMBALANT
AAABCLMOR: CARAMBOLA
AAABCLNNT: BALANCANT
AAABCLNST: BATACLANS
AAABCNORR: CARBONARA
AAABCNORT: CARBONATA
AAABCNRSU: CARNAUBAS
AAABCPRSY: CAPYBARAS
AAABDDERU: BADAUDERA
AAABDDISU: BADAUDAIS
AAABDDITU: BADAUDAIT
AAABDDNTU: BADAUDANT
AAABDEGMR: GAMBADERA
AAABDEGRV: BAVARDAGE
AAABDEILR: BALADERAI
AAABDEIRT: ABATARDIE
AAABDEISZ: BAZADAISE
AAABDELMS: BALADAMES
AAABDELPT: ADAPTABLE
AAABDELRS: BALADERAS
AAABDELSS: BALADASSE
AAABDELST: BALADATES
AAABDEMSS: AMBASSADE
AAABDENRS: SARABANDE
AAABDERRU: BARREAUDA
AAABDERRV: BAVARDERA
AAABDERRZ: BAZARDERA
AAABDERTU: BATARDEAU
AAABDGIMS: GAMBADAIS
AAABDGIMT: GAMBADAIT
AAABDGMNT: GAMBADANT
AAABDGNOV: VAGABONDA
AAABDIRRT: ABATARDIR
AAABDIRSS: BARDASSAI
AAABDIRST: ABATARDIS
AAABDIRSV: BAVARDAIS
AAABDIRSZ: BAZARDAIS
AAABDIRTT: ABATARDIT
AAABDIRTV: BAVARDAIT
AAABDIRTZ: BAZARDAIT
AAABDNNNO: ABANDONNA
AAABDNRTV: BAVARDANT
AAABDNRTZ: BAZARDANT
AAABDRSSS: BARDASSAS
AAABDRSST: BARDASSAT
AAABEFLRR: BALAFRERA
AAABEGGIR: GABARIAGE
AAABEGHNU: HAUBANAGE
AAABEGIRR: ABREAGIRA
           GABARIERA
AAABEGLSY: BALAYAGES
AAABEGRRR: BAGARRERA
AAABEGRTT: BARATTAGE
           RABATTAGE
AAABEGSST: TABASSAGE
AAABEGSTT: ABATTAGES
AAABEHNRS: HABANERAS
AAABEHNRU: HAUBANERA
AAABEIILR: BALAIERAI
AAABEILNS: ALBANAISE
AAABEILRS: BALAIERAS
AAABEILRT: ABLATERAI
AAABEILRY: BALAYERAI
AAABEINNR: BANANERAI
AAABEINRS: BASANERAI
AAABEINRT: ANTIARABE
AAABEIRRS: ABRASERAI
           ARABISERA
AAABEIRSS: ABAISSERA
AAABEKKLY: KAYAKABLE
AAABELLSV: AVALABLES
AAABELMST: ABLATAMES
AAABELMSY: BALAYAMES
AAABELPRR: PALABRERA
AAABELRST: ABLATERAS
AAABELRSY: BALAYERAS
AAABELRTT: ATTABLERA
AAABELSST: ABLATASSE
AAABELSSY: BALAYASSE
AAABELSTT: ABLATATES
AAABELSTY: BALAYATES
AAABEMNNS: BANANAMES
AAABEMNSS: BASANAMES
AAABEMRSS: ABRASAMES
AAABENNRS: BANANERAS
AAABENNSS: BANANASSE
AAABENNST: BANANATES
AAABENPRS: PANARABES
AAABENRSS: BASANERAS
AAABENSSS: BASANASSE
AAABENSST: BASANATES
AAABEPRSS: PARABASES
AAABEQRRU: BARAQUERA
AAABERRSS: ABRASERAS
AAABERRTT: BARATTERA
AAABERSSS: ABRASASSE
AAABERSST: ABRASATES
           TABASSERA
AAABERSSV: BAVASSERA
AAABFFILU: AFFABULAI
AAABFFLSU: AFFABULAS
AAABFFLTU: AFFABULAT
AAABFILRS: BALAFRAIS
AAABFILRT: BALAFRAIT
AAABFLNRT: BALAFRANT
AAABGHLNU: GALHAUBAN
AAABGIIRS: GABARIAIS
AAABGIIRT: GABARIAIT
