AAAABDIRRT: ABATARDIRA
AAAABIKLLS: BALALAIKAS
AAAABJLMSY: JAMBALAYAS
AAAACCDILV: CAVALCADAI
AAAACCDLSV: CAVALCADAS
AAAACCDLTV: CAVALCADAT
AAAACCEPRR: ACCAPARERA
AAAACCIPRS: ACCAPARAIS
AAAACCIPRT: ACCAPARAIT
AAAACCNPRT: ACCAPARANT
AAAACDGINR: ACAGNARDAI
AAAACDGNRS: ACAGNARDAS
AAAACDGNRT: ACAGNARDAT
AAAACDHILN: ACHALANDAI
AAAACDHLNS: ACHALANDAS
AAAACDHLNT: ACHALANDAT
AAAACDIMMS: MACADAMIAS
            MACADAMISA
AAAACDJNRS: JACARANDAS
AAAACDMMRT: TARMACADAM
AAAACEGNRV: CARAVANAGE
AAAACEPRRT: CARAPATERA
AAAACIPRST: CARAPATAIS
AAAACIPRTT: CARAPATAIT
AAAACIRRSU: ARAUCARIAS
AAAACLNRST: ALCANTARAS
AAAACMNRST: CATAMARANS
AAAACNPRTT: CARAPATANT
AAAADHHJMR: MAHARADJAH
AAAADHJMRS: MAHARADJAS
AAAADLLMNS: ALLAMANDAS
AAAAEGINPR: APANAGERAI
AAAAEGINPS: APANAGEAIS
AAAAEGINPT: APANAGEAIT
AAAAEGINTV: AVANTAGEAI
AAAAEGLMMR: AMALGAMERA
AAAAEGNNPT: APANAGEANT
AAAAEGNPRS: APANAGERAS
AAAAEGNRTV: AVANTAGERA
AAAAEGNSTV: AVANTAGEAS
AAAAEGNTTV: AVANTAGEAT
AAAAGILMMS: AMALGAMAIS
AAAAGILMMT: AMALGAMAIT
AAAAGLMMNT: AMALGAMANT
AAAAHHJMRS: MAHARAJAHS
AAAAHPPRRS: PARAPHRASA
AAAAILLPST: PALATALISA
AAAAIPPRRT: APPARAITRA
AAAAJNRSVY: VAJRAYANAS
AAAALLMMSY: MALAYALAMS
AAAALMNRSZ: SALMANAZAR
AAAALPRSTT: PARASTATAL
AAAANPRTUV: AUPARAVANT
AAABBBLLLS: BLABLABLAS
AAABBCENRS: BARBACANES
AAABBEILSS: ABAISSABLE
AAABBEILST: ABBATIALES
AAABBEIMNS: MBABANAISE
AAABBEIRST: SABBATAIRE
AAABBELLRT: BLABLATERA
AAABBELRTT: RABATTABLE
AAABBELSTT: ABATTABLES
AAABBIIRRS: BARBARISAI
AAABBILLST: BLABLATAIS
AAABBILLTT: BLABLATAIT
AAABBIRRSS: BARBARISAS
AAABBIRRST: BARBARISAT
AAABBLLNTT: BLABLATANT
AAABCCEENN: CANNABACEE
AAABCCEHLN: BACCHANALE
AAABCCEILR: ACCABLERAI
AAABCCEINT: CACABAIENT
AAABCCEIRS: CACABERAIS
AAABCCEIRT: CACABERAIT
AAABCCELMS: ACCABLAMES
AAABCCELNT: ACCABLANTE
AAABCCELRS: ACCABLERAS
AAABCCELSS: ACCABLASSE
AAABCCELST: ACCABLATES
AAABCCESSS: CACABASSES
AAABCCLNST: ACCABLANTS
AAABCDEGLU: CLABAUDAGE
AAABCDELRU: CLABAUDERA
AAABCDHIMR: CHAMBARDAI
AAABCDHMRS: CHAMBARDAS
AAABCDHMRT: CHAMBARDAT
AAABCDIIRR: BARRICADAI
AAABCDILSU: CLABAUDAIS
AAABCDILTU: CLABAUDAIT
AAABCDINRR: BRANCARDAI
AAABCDIRRS: BARRICADAS
AAABCDIRRT: BARRICADAT
AAABCDLNTU: CLABAUDANT
AAABCDNRRS: BRANCARDAS
AAABCDNRRT: BRANCARDAT
AAABCDRRSU: BARRACUDAS
AAABCEEGNN: ENCABANAGE
AAABCEENNR: ENCABANERA
AAABCEGHRS: RABACHAGES
AAABCEHIRR: RABACHERAI
AAABCEHMRS: RABACHAMES
AAABCEHRRS: RABACHERAS
AAABCEHRSS: RABACHASSE
AAABCEHRST: RABACHATES
AAABCEILMR: CAMBALERAI
AAABCEILNR: BALANCERAI
AAABCEILNT: CABALAIENT
AAABCEILRS: CABALERAIS
            CALABRAISE
AAABCEILRT: CABALERAIT
AAABCEIMNR: AMBIANCERA
AAABCEINNS: ENCABANAIS
AAABCEINNT: CABANAIENT
            ENCABANAIT
AAABCEINRS: CABANERAIS
AAABCEINRT: CABANERAIT
AAABCELMMS: CAMBALAMES
AAABCELMNS: BALANCAMES
AAABCELMRS: CAMBALERAS
AAABCELMSS: CAMBALASSE
AAABCELMST: CAMBALATES
AAABCELNRS: BALANCERAS
AAABCELNSS: BALANCASSE
AAABCELNST: BALANCATES
AAABCELSSS: CABALASSES
AAABCEMRST: CARBAMATES
AAABCENNNT: ENCABANANT
AAABCENRSS: SARBACANES
AAABCENSSS: CABANASSES
AAABCHLMNR: CHAMBRANLA
AAABCIIMNS: AMBIANCAIS
AAABCIIMNT: AMBIANCAIT
AAABCIINRS: BANCARISAI
AAABCILMOR: CARAMBOLAI
AAABCIMNNT: AMBIANCANT
AAABCINORT: CARBONATAI
AAABCINRSS: BANCARISAS
AAABCINRST: BANCARISAT
AAABCINSTT: ANTITABACS
AAABCLMORS: CARAMBOLAS
AAABCLMORT: CARAMBOLAT
AAABCNORRS: CARBONARAS
AAABCNORST: CARBONATAS
AAABCNORTT: CARBONATAT
AAABDDEIRU: BADAUDERAI
AAABDDEMSU: BADAUDAMES
AAABDDERSU: BADAUDERAS
AAABDDESSU: BADAUDASSE
AAABDDESTU: BADAUDATES
AAABDEGIMR: GAMBADERAI
AAABDEGMMS: GAMBADAMES
AAABDEGMRS: GAMBADERAS
AAABDEGMSS: GAMBADASSE
AAABDEGMST: GAMBADATES
AAABDEGNUU: BAGUENAUDA
AAABDEGRSV: BAVARDAGES
AAABDEILNN: ALABANDINE
AAABDEILNS: DEBANALISA
AAABDEILNT: ALABANDITE
            BALADAIENT
AAABDEILRS: BALADERAIS
AAABDEILRT: BALADERAIT
AAABDEIRRU: BARREAUDAI
AAABDEIRRV: BAVARDERAI
AAABDEIRRZ: BAZARDERAI
AAABDEIRST: ABATARDIES
AAABDEISSZ: BAZADAISES
AAABDELPST: ADAPTABLES
AAABDELSSS: BALADASSES
AAABDEMRSV: BAVARDAMES
AAABDEMRSZ: BAZARDAMES
AAABDEMSSS: AMBASSADES
AAABDENRSS: SARABANDES
AAABDERRSS: BARDASSERA
            DEBARRASSA
AAABDERRSU: BARREAUDAS
AAABDERRSV: BAVARDERAS
AAABDERRSZ: BAZARDERAS
AAABDERRTU: BARREAUDAT
AAABDERSSV: BAVARDASSE
AAABDERSSZ: BAZARDASSE
AAABDERSTV: BAVARDATES
AAABDERSTZ: BAZARDATES
AAABDERTUX: BATARDEAUX
AAABDGILNS: BANGLADAIS
AAABDGINOV: VAGABONDAI
AAABDGNOSV: VAGABONDAS
AAABDGNOTV: VAGABONDAT
AAABDIIJNS: ABIDJANAIS
AAABDINNNO: ABANDONNAI
AAABDIRSSS: BARDASSAIS
AAABDIRSST: BARDASSAIT
AAABDNNNOS: ABANDONNAS
AAABDNNNOT: ABANDONNAT
AAABDNRSST: BARDASSANT
AAABEEINNR: BANANERAIE
AAABEFFLRU: AFFABULERA
AAABEFILRR: BALAFRERAI
AAABEFLMRS: BALAFRAMES
AAABEFLRRS: BALAFRERAS
AAABEFLRSS: BALAFRASSE
AAABEFLRST: BALAFRATES
AAABEGGIRS: GABARIAGES
AAABEGHNSU: HAUBANAGES
AAABEGIIRR: ABREAGIRAI
            GABARIERAI
AAABEGIMRS: GABARIAMES
AAABEGIRRR: BAGARRERAI
AAABEGIRRS: ABREAGIRAS
            GABARIERAS
AAABEGIRRT: GRABATAIRE
AAABEGIRSS: GABARIASSE
AAABEGIRST: GABARIATES
AAABEGLLST: BALLASTAGE
AAABEGMRRS: BAGARRAMES
AAABEGRRRS: BAGARRERAS
AAABEGRRSS: BAGARRASSE
AAABEGRRST: BAGARRATES
AAABEGRSTT: BARATTAGES
            RABATTAGES
AAABEGSSST: TABASSAGES
AAABEHINRU: HAUBANERAI
AAABEHMNSU: HAUBANAMES
AAABEHNRSU: HAUBANERAS
AAABEHNSSU: HAUBANASSE
AAABEHNSTU: HAUBANATES
AAABEIILRS: BALAIERAIS
AAABEIILRT: BALAIERAIT
AAABEIIRRS: ARABISERAI
AAABEIIRSS: ABAISSERAI
AAABEILLRT: BATAILLERA
AAABEILMRS: MALBARAISE
AAABEILNRS: BANALISERA
AAABEILNSS: ALBANAISES
AAABEILNTT: ABLATAIENT
AAABEILNTY: BALAYAIENT
AAABEILPRR: PALABRERAI
AAABEILRST: ABLATERAIS
AAABEILRSY: BALAYERAIS
AAABEILRTT: ABLATERAIT
            ATTABLERAI
AAABEILRTY: BALAYERAIT
AAABEIMRSS: ARABISAMES
AAABEIMSSS: ABAISSAMES
AAABEINNNT: BANANAIENT
AAABEINNRS: BANANERAIS
AAABEINNRT: BANANERAIT
AAABEINNST: BASANAIENT
AAABEINRRT: BARATINERA
AAABEINRSS: BASANERAIS
AAABEINRST: ABRASAIENT
            ANTIARABES
            ARABISANTE
            BASANERAIT
AAABEINSST: ABAISSANTE
AAABEINTTT: ABATTAIENT
AAABEIQRRU: BARAQUERAI
AAABEIRRSS: ABRASERAIS
            ARABISERAS
            RABAISSERA
AAABEIRRST: ABRASERAIT
AAABEIRRTT: BARATTERAI
AAABEIRSSS: ABAISSERAS
            ARABISASSE
AAABEIRSST: ARABISATES
            TABASSERAI
AAABEIRSSV: BAVASSERAI
AAABEISSSS: ABAISSASSE
AAABEISSST: ABAISSATES
AAABEJQRRU: BARJAQUERA
AAABEKKLSY: KAYAKABLES
AAABELLNSY: ANALYSABLE
AAABELLRST: BALLASTERA
AAABELMPRS: PALABRAMES
AAABELMSTT: ATTABLAMES
AAABELPRRS: PALABRERAS
AAABELPRRV: PARAVERBAL
