AAAAABBCDRR: ABRACADABRA
AAAABCGHIST: ACHGABATAIS
AAAABDIIRRT: ABATARDIRAI
AAAABDIRRST: ABATARDIRAS
AAAACCDELRV: CAVALCADERA
AAAACCDILSV: CAVALCADAIS
AAAACCDILTV: CAVALCADAIT
AAAACCDLNTV: CAVALCADANT
AAAACCEIPRR: ACCAPARERAI
AAAACCEMPRS: ACCAPARAMES
AAAACCENPRT: ACCAPARANTE
AAAACCEPRRS: ACCAPARERAS
AAAACCEPRSS: ACCAPARASSE
AAAACCEPRST: ACCAPARATES
AAAACCIMNSS: CASAMANCAIS
AAAACCNNOPR: CAPARACONNA
AAAACCNPRST: ACCAPARANTS
AAAACDEGHLN: ACHALANDAGE
AAAACDEGNRR: ACAGNARDERA
AAAACDEHLNR: ACHALANDERA
AAAACDGINRS: ACAGNARDAIS
AAAACDGINRT: ACAGNARDAIT
AAAACDGNNRT: ACAGNARDANT
AAAACDHILNS: ACHALANDAIS
AAAACDHILNT: ACHALANDAIT
AAAACDHLNNT: ACHALANDANT
AAAACDIIMMS: MACADAMISAI
AAAACDIINNS: CANADIANISA
AAAACDIMMSS: MACADAMISAS
AAAACDIMMST: MACADAMISAT
AAAACDMMRST: TARMACADAMS
AAAACEEGPRS: ASPARAGACEE
AAAACEEMNRT: AMARANTACEE
AAAACEGNRSV: CARAVANAGES
AAAACEIPRRT: CARAPATERAI
AAAACELNNST: ANTANACLASE
AAAACEMPRST: CARAPATAMES
AAAACEPRRST: CARAPATERAS
AAAACEPRSST: CARAPATASSE
AAAACEPRSTT: CARAPATATES
AAAADELNPRS: SARDANAPALE
AAAADHHJMRS: MAHARADJAHS
AAAAEEGMNPS: APANAGEAMES
AAAAEEGNPSS: APANAGEASSE
AAAAEEGNPST: APANAGEATES
AAAAEGGLNPR: PARALANGAGE
AAAAEGILMMR: AMALGAMERAI
AAAAEGINPRS: APANAGERAIS
AAAAEGINPRT: APANAGERAIT
AAAAEGINRTV: AVANTAGERAI
AAAAEGINSTV: AVANTAGEAIS
AAAAEGINTTV: AVANTAGEAIT
AAAAEGLMMMS: AMALGAMAMES
AAAAEGLMMRS: AMALGAMERAS
AAAAEGLMMSS: AMALGAMASSE
AAAAEGLMMST: AMALGAMATES
AAAAEGLNPQU: AQUAPLANAGE
AAAAEGNNTTV: AVANTAGEANT
AAAAEGNRSTV: AVANTAGERAS
AAAAELPRSTT: PARASTATALE
AAAAHIPPRRS: PARAPHRASAI
AAAAHPPRRSS: PARAPHRASAS
AAAAHPPRRST: PARAPHRASAT
AAAAIILLPST: PALATALISAI
AAAAIIPPRRT: APPARAITRAI
AAAAIJKNRST: JAKARTANAIS
AAAAILLPSST: PALATALISAS
AAAAILLPSTT: PALATALISAT
AAAAIPPRRST: APPARAITRAS
AAAALMNRSSZ: SALMANAZARS
AAAALNOSTUY: AUTOANALYSA
AAAAPRSTTUX: PARASTATAUX
AAABBEILLRT: BLABLATERAI
AAABBEILSSS: ABAISSABLES
AAABBEIMNSS: MBABANAISES
AAABBEIRRRS: BARBARISERA
AAABBEIRSST: SABBATAIRES
AAABBELLMST: BLABLATAMES
AAABBELLRST: BLABLATERAS
AAABBELLSST: BLABLATASSE
AAABBELLSTT: BLABLATATES
AAABBELRSTT: RABATTABLES
AAABBIIRRSS: BARBARISAIS
AAABBIIRRST: BARBARISAIT
AAABBINRRST: BARBARISANT
AAABCCEENNS: CANNABACEES
AAABCCEHLNS: BACCHANALES
AAABCCEILNT: ACCABLAIENT
AAABCCEILRS: ACCABLERAIS
AAABCCEILRT: ACCABLERAIT
AAABCCEISSZ: CACABASSIEZ
AAABCCELNST: ACCABLANTES
AAABCCELSSS: ACCABLASSES
AAABCCENSST: CACABASSENT
AAABCCIMRTU: AMBRUCCIATA
AAABCDEGLSU: CLABAUDAGES
AAABCDEGNRR: BRANCARDAGE
AAABCDEHMRR: CHAMBARDERA
AAABCDEIIRT: ABDICATAIRE
AAABCDEILRU: CLABAUDERAI
AAABCDEIRRR: BARRICADERA
AAABCDELMSU: CLABAUDAMES
AAABCDELRSU: CLABAUDERAS
AAABCDELSSU: CLABAUDASSE
AAABCDELSTU: CLABAUDATES
AAABCDENORT: DECARBONATA
AAABCDENRRR: BRANCARDERA
AAABCDHIMRS: CHAMBARDAIS
AAABCDHIMRT: CHAMBARDAIT
AAABCDHMNRT: CHAMBARDANT
AAABCDIIRRS: BARRICADAIS
AAABCDIIRRT: BARRICADAIT
AAABCDINRRS: BRANCARDAIS
AAABCDINRRT: BARRICADANT
             BRANCARDAIT
AAABCDNNRRT: BRANCARDANT
AAABCEEGNNS: ENCABANAGES
AAABCEEINNR: ENCABANERAI
AAABCEEMNNS: ENCABANAMES
AAABCEENNRS: ENCABANERAS
AAABCEENNSS: ENCABANASSE
AAABCEENNST: ENCABANATES
AAABCEGINRT: ANTICABRAGE
AAABCEGLMOR: CARAMBOLAGE
AAABCEHINRT: RABACHAIENT
AAABCEHIRRS: RABACHERAIS
AAABCEHIRRT: RABACHERAIT
AAABCEHRSSS: RABACHASSES
AAABCEIIMNR: AMBIANCERAI
AAABCEILLNS: CANALISABLE
AAABCEILMNT: CAMBALAIENT
AAABCEILMRS: CAMBALERAIS
AAABCEILMRT: CAMBALERAIT
AAABCEILNNT: BALANCAIENT
AAABCEILNRS: BALANCERAIS
AAABCEILNRT: BALANCERAIT
AAABCEILRSS: CALABRAISES
AAABCEILSSZ: CABALASSIEZ
AAABCEIMMNS: AMBIANCAMES
AAABCEIMNOT: TABACOMANIE
AAABCEIMNRS: AMBIANCERAS
AAABCEIMNSS: AMBIANCASSE
AAABCEIMNST: AMBIANCATES
AAABCEINRRS: BANCARISERA
AAABCEINSSZ: CABANASSIEZ
AAABCEIQTTU: CATABATIQUE
AAABCELMORR: CARAMBOLERA
AAABCELMSSS: CAMBALASSES
AAABCELNSSS: BALANCASSES
AAABCELNSST: CABALASSENT
AAABCENNSST: CABANASSENT
AAABCENORRT: CARBONATERA
AAABCHILMNR: CHAMBRANLAI
AAABCHLMNRS: CHAMBRANLAS
AAABCHLMNRT: CHAMBRANLAT
AAABCIILNNS: CANNIBALISA
AAABCIINRSS: BANCARISAIS
AAABCIINRST: BANCARISAIT
AAABCILMORS: CARAMBOLAIS
AAABCILMORT: CARAMBOLAIT
AAABCILNOTT: ABLACTATION
AAABCINNRST: BANCARISANT
AAABCINORST: CARBONATAIS
AAABCINORTT: CARBONATAIT
AAABCIORSTT: TARABISCOTA
AAABCLMNORT: CARAMBOLANT
AAABCNNORTT: CARBONATANT
AAABDDEINTU: BADAUDAIENT
AAABDDEIRSU: BADAUDERAIS
AAABDDEIRTU: BADAUDERAIT
AAABDDESSSU: BADAUDASSES
AAABDEEGRRU: BARREAUDAGE
AAABDEERRRU: BARREAUDERA
AAABDEGGNOV: VAGABONDAGE
AAABDEGILNS: BANGLADAISE
AAABDEGIMNT: GAMBADAIENT
AAABDEGIMRS: GAMBADERAIS
AAABDEGIMRT: GAMBADERAIT
AAABDEGINUU: BAGUENAUDAI
AAABDEGMSSS: GAMBADASSES
AAABDEGNORV: VAGABONDERA
AAABDEGNSUU: BAGUENAUDAS
AAABDEGNTUU: BAGUENAUDAT
AAABDEIIJNS: ABIDJANAISE
AAABDEIILLS: DELABIALISA
AAABDEIILNS: DEBANALISAI
AAABDEIIMST: ADIABATISME
AAABDEIIQTU: ADIABATIQUE
AAABDEILNNS: ALABANDINES
AAABDEILNPT: INADAPTABLE
AAABDEILNSS: DEBANALISAS
AAABDEILNST: ALABANDITES
             DEBANALISAT
AAABDEILSSZ: BALADASSIEZ
AAABDEIMRST: ABATARDIMES
AAABDEINRTV: BAVARDAIENT
AAABDEINRTZ: BAZARDAIENT
AAABDEIRRSS: BARDASSERAI
             DEBARRASSAI
AAABDEIRRSU: BARREAUDAIS
AAABDEIRRSV: BAVARDERAIS
AAABDEIRRSZ: BAZARDERAIS
AAABDEIRRTU: BARREAUDAIT
AAABDEIRRTV: BAVARDERAIT
AAABDEIRRTZ: ABATARDIREZ
             BAZARDERAIT
AAABDEIRSST: ABATARDISSE
AAABDEIRSTT: ABATARDITES
AAABDELNSST: BALADASSENT
AAABDEMORTU: DEMARABOUTA
AAABDEMRSSS: BARDASSAMES
AAABDEMRSSU: AMBASSADEUR
AAABDENNNOR: ABANDONNERA
AAABDENRRTU: BARREAUDANT
AAABDERRSSS: BARDASSERAS
             DEBARRASSAS
AAABDERRSST: DEBARRASSAT
AAABDERSSSS: BARDASSASSE
AAABDERSSST: BARDASSATES
AAABDERSSSV: BAVARDASSES
AAABDERSSSZ: BAZARDASSES
AAABDGINOSV: VAGABONDAIS
AAABDGINOTV: VAGABONDAIT
AAABDGNNOTV: VAGABONDANT
AAABDIILORS: RADIOBALISA
AAABDINNNOS: ABANDONNAIS
AAABDINNNOT: ABANDONNAIT
AAABDIORRSU: ABASOURDIRA
AAABDNNNNOT: ABANDONNANT
AAABEEEGLMN: AMENAGEABLE
AAABEEGLNRR: ARRANGEABLE
AAABEEGLPRT: PARTAGEABLE
AAABEEGNRSS: RABASSENAGE
AAABEEHLNPT: ANALPHABETE
AAABEEINNRS: BANANERAIES
AAABEELPRRV: PARAVERBALE
AAABEFFILRU: AFFABULERAI
AAABEFFLMSU: AFFABULAMES
AAABEFFLRSU: AFFABULERAS
AAABEFFLSSU: AFFABULASSE
AAABEFFLSTU: AFFABULATES
AAABEFILNRT: BALAFRAIENT
AAABEFILRRS: BALAFRERAIS
AAABEFILRRT: BALAFRERAIT
AAABEFLRSSS: BALAFRASSES
AAABEGIILNT: GABALITAINE
AAABEGIINRT: GABARIAIENT
AAABEGIIRRS: ABREAGIRAIS
             GABARIERAIS
AAABEGIIRRT: ABREAGIRAIT
             GABARIERAIT
AAABEGILMQU: ALAMBIQUAGE
AAABEGINRRT: BAGARRAIENT
AAABEGIRRRS: BAGARRERAIS
AAABEGIRRRT: BAGARRERAIT
AAABEGIRRST: GRABATAIRES
AAABEGIRSSS: GABARIASSES
AAABEGLLSST: BALLASTAGES
AAABEGMORTU: MARABOUTAGE
AAABEGRRSSS: BAGARRASSES
AAABEHILPST: ALPHABETISA
AAABEHIMQRU: ABRAHAMIQUE
AAABEHINNTU: HAUBANAIENT
AAABEHINRSU: HAUBANERAIS
AAABEHINRTU: HAUBANERAIT
AAABEHNSSSU: HAUBANASSES
AAABEIILLRS: LABIALISERA
AAABEIILLRT: BATAILLERAI
AAABEIILNPS: INAPAISABLE
AAABEIILNRS: BANALISERAI
AAABEIILRRT: ATRABILAIRE
AAABEIINRRT: BARATINERAI
AAABEIINRST: ARABISAIENT
AAABEIINSST: ABAISSAIENT
AAABEIIRRSS: ARABISERAIS
             RABAISSERAI
AAABEIIRRST: ARABISERAIT
AAABEIIRSSS: ABAISSERAIS
AAABEIIRSST: ABAISSERAIT
AAABEIJQRRU: BARJAQUERAI
AAABEIKLNRS: BALKANISERA
AAABEILLMST: BATAILLAMES
AAABEILLRST: BALLASTERAI
             BATAILLERAS
AAABEILLSST: BATAILLASSE
AAABEILLSTT: BATAILLATES
AAABEILMNSS: BANALISAMES
AAABEILMQRU: ALAMBIQUERA
AAABEILMRSS: MALBARAISES
AAABEILNPRT: PALABRAIENT
AAABEILNRSS: BANALISERAS
AAABEILNRST: ALABASTRINE
AAABEILNSSS: BANALISASSE
AAABEILNSST: BANALISATES
AAABEILNTTT: ATTABLAIENT
AAABEILPRRS: PALABRERAIS
AAABEILPRRT: PALABRERAIT
             RAPATRIABLE
AAABEILRSTT: ALABASTRITE
             ATTABLERAIS
AAABEILRTTT: ATTABLERAIT
AAABEILSSTZ: ABLATASSIEZ
AAABEILSSYZ: BALAYASSIEZ
AAABEIMNPRS: PANARABISME
AAABEIMNPST: ANABAPTISME
AAABEIMNRST: BARATINAMES
AAABEIMRRSS: EMBARRASSAI
AAABEIMRSSS: RABAISSAMES
AAABEINNSSZ: BANANASSIEZ
AAABEINPSTT: ANABAPTISTE
AAABEINQRTU: BARAQUAIENT
AAABEINRRST: BARATINERAS
AAABEINRSST: ARABISANTES
             BARATINASSE
AAABEINRSTT: BARATINATES
AAABEINRTTT: ABATTRAIENT
             BARATTAIENT
             RABATTAIENT
AAABEINSSST: ABAISSANTES
AAABEINSSSZ: BASANASSIEZ
AAABEINSSTT: TABASSAIENT
AAABEINSSTV: BAVASSAIENT
AAABEIQRRSU: BARAQUERAIS
AAABEIQRRTU: BARAQUERAIT
AAABEIRRSSS: RABAISSERAS
AAABEIRRSTT: BARATTERAIS
AAABEIRRTTT: BARATTERAIT
AAABEIRSSSS: ARABISASSES
             RABAISSASSE
AAABEIRSSST: RABAISSATES
             TABASSERAIS
AAABEIRSSSV: BAVASSERAIS
AAABEIRSSSZ: ABRASASSIEZ
AAABEIRSSTT: TABASSERAIT
AAABEIRSSTV: BAVASSERAIT
AAABEISSSSS: ABAISSASSES
AAABEJMQRSU: BARJAQUAMES
AAABEJQRRSU: BARJAQUERAS
AAABEJQRSSU: BARJAQUASSE
AAABEJQRSTU: BARJAQUATES
AAABELLMSST: BALLASTAMES
AAABELLNSSY: ANALYSABLES
AAABELLRSST: BALLASTERAS
AAABELLSSST: BALLASTASSE
AAABELLSSTT: BALLASTATES
AAABELNSSTT: ABLATASSENT
AAABELNSSTY: BALAYASSENT
AAABELPRRTT: RATTRAPABLE
AAABELPRSSS: PALABRASSES
AAABELQSTTU: ATTAQUABLES
AAABELSSSTT: ATTABLASSES
AAABEMORRTU: MARABOUTERA
AAABEMRRSSS: EMBARRASSAS
AAABEMRRSST: EMBARRASSAT
AAABENNNSST: BANANASSENT
AAABENNSSST: BASANASSENT
AAABENRSSST: ABRASASSENT
AAABENRSTTT: RABATTANTES
AAABEPRRUVX: PARAVERBAUX
AAABEQRSSSU: BARAQUASSES
AAABERRSTTU: TARABUSTERA
AAABERSSSTT: BARATTASSES
AAABESSSSST: TABASSASSES
AAABESSSSSV: BAVASSASSES
AAABFFIIILR: AFFAIBLIRAI
AAABFFIILRS: AFFAIBLIRAS
AAABGIILNST: GABALITAINS
AAABGIINORU: BARAGOUINAI
AAABGINORSU: BARAGOUINAS
AAABGINORTU: BARAGOUINAT
AAABHNRSTTU: TRANSBAHUTA
AAABIIILLSS: LABIALISAIS
AAABIIILLST: LABIALISAIT
AAABIIKLNSS: BALKANISAIS
AAABIIKLNST: BALKANISAIT
AAABIILLNST: LABIALISANT
AAABIILMQSU: ALAMBIQUAIS
AAABIILMQTU: ALAMBIQUAIT
AAABIINORST: ARABISATION
AAABIIRRSST: ABSTRAIRAIS
AAABIIRRSTT: ABSTRAIRAIT
AAABIKLNNST: BALKANISANT
AAABILMNQTU: ALAMBIQUANT
AAABILNNOST: ANABOLISANT
AAABILNRSST: ALABASTRINS
AAABIMORSTU: MARABOUTAIS
AAABIMORTTU: MARABOUTAIT
AAABIRSSTTU: TARABUSTAIS
AAABIRSTTTU: TARABUSTAIT
AAABMNORTTU: MARABOUTANT
AAABNRSTTTU: TARABUSTANT
AAACCCEINPT: CAPACITANCE
AAACCDEHMRU: CAUCHEMARDA
AAACCDEILRS: DECALCARISA
AAACCDEILVZ: CAVALCADIEZ
AAACCDEINRT: CACARDAIENT
AAACCDEINST: CASCADAIENT
             SACCADAIENT
AAACCDEIRRS: CACARDERAIS
AAACCDEIRRT: CACARDERAIT
AAACCDEIRSS: CASCADERAIS
             DECARCASSAI
             SACCADERAIS
AAACCDEIRST: CASCADERAIT
             SACCADERAIT
AAACCDELNTV: CAVALCADENT
AAACCDELORS: CARACOLADES
AAACCDERSSS: CACARDASSES
             DECARCASSAS
AAACCDERSST: DECARCASSAT
AAACCDESSSS: CASCADASSES
             SACCADASSES
AAACCDLNOSV: CAVALCADONS
AAACCDLORUV: CAVALCADOUR
AAACCEEGIRS: AGARICACEES
AAACCEEGMSS: SACCAGEAMES
AAACCEEGSSS: SACCAGEASSE
AAACCEEGSST: SACCAGEATES
AAACCEEHNST: ACANTHACEES
AAACCEEIMRT: TAMARICACEE
AAACCEEPRRZ: ACCAPAREREZ
AAACCEEPRSU: ACCAPAREUSE
AAACCEGIRSS: SACCAGERAIS
AAACCEGIRST: SACCAGERAIT
AAACCEHILNR: CALANCHERAI
AAACCEHINPU: IPECACUANHA
AAACCEHIRRV: CRAVACHERAI
AAACCEHLMNS: CALANCHAMES
AAACCEHLNRS: CALANCHERAS
AAACCEHLNSS: CALANCHASSE
AAACCEHLNST: CALANCHATES
AAACCEHMRSV: CRAVACHAMES
AAACCEHPRTT: CATAPHRACTE
AAACCEHRRSV: CRAVACHERAS
AAACCEHRSSS: SACCHARASES
AAACCEHRSST: SACCHARATES
AAACCEHRSSV: CRAVACHASSE
AAACCEHRSTV: CRAVACHATES
AAACCEIIPRT: CAPACITAIRE
AAACCEILLRR: CARCAILLERA
AAACCEILMNT: ACCLAMAIENT
AAACCEILMRS: ACCLAMERAIS
AAACCEILMRT: ACCLAMERAIT
             ACCLIMATERA
             REACCLIMATA
AAACCEILORR: CARACOLERAI
AAACCEINNNT: CANCANAIENT
AAACCEINNRS: CANCANERAIS
AAACCEINNRT: CANCANERAIT
AAACCEINPSU: IPECACUANAS
AAACCEINRSS: CARACASSIEN
AAACCEIRRST: CARACTERISA
AAACCELMORS: CARACOLAMES
AAACCELMRTU: ACCLAMATEUR
AAACCELMSSS: ACCLAMASSES
AAACCELORRS: CARACOLERAS
AAACCELORSS: CARACOLASSE
AAACCELORST: CARACOLATES
AAACCENNOPR: CAPARACONNE
AAACCENNSSS: CANCANASSES
AAACCEPRRSU: ACCAPAREURS
AAACCFHIIRS: SACCHARIFIA
AAACCFIIIRS: SACCARIFIAI
AAACCFIIRSS: SACCARIFIAS
AAACCFIIRST: SACCARIFIAT
AAACCGIMNOP: ACCOMPAGNAI
AAACCGMNOPR: RACCOMPAGNA
AAACCGMNOPS: ACCOMPAGNAS
AAACCGMNOPT: ACCOMPAGNAT
AAACCIILLRS: CARCAILLAIS
AAACCIILLRT: CARCAILLAIT
AAACCIILLST: ACCASTILLAI
AAACCIILMST: ACCLIMATAIS
AAACCIILMTT: ACCLIMATAIT
AAACCIIRRTU: CARICATURAI
AAACCILLNRT: CARCAILLANT
AAACCILLSST: ACCASTILLAS
AAACCILLSTT: ACCASTILLAT
AAACCILMNOT: ACCLAMATION
AAACCILMNTT: ACCLIMATANT
AAACCILRRTU: CARICATURAL
AAACCINOPRS: ACCAPARIONS
AAACCIRRSTU: CARICATURAS
AAACCIRRTTU: CARICATURAT
AAACCJOPSUY: JACAPUCAYOS
AAACCLLMSTY: CATACLYSMAL
AAACDDEELSS: DESESCALADA
AAACDDEENSS: DECADENASSA
AAACDDEILRS: CALDEIRADAS
AAACDDEINRT: CANDIDATERA
AAACDDIINST: CANDIDATAIS
