AAAAABBCDRRS: ABRACADABRAS
AAAABCCELRTU: BACCALAUREAT
AAAABCCILNSS: CASABLANCAIS
AAAABCEGHIST: ACHGABATAISE
AAAABCEINPRR: PARABANCAIRE
AAAABDIIRRST: ABATARDIRAIS
AAAABDIIRRTT: ABATARDIRAIT
AAAABILLLOPT: LABIOPALATAL
AAAACCDEEINR: ANACARDIACEE
AAAACCDEILRV: CAVALCADERAI
AAAACCDELMSV: CAVALCADAMES
AAAACCDELRSV: CAVALCADERAS
AAAACCDELSSV: CAVALCADASSE
AAAACCDELSTV: CAVALCADATES
AAAACCEEIRRU: ARAUCARIACEE
AAAACCEIMNSS: CASAMANCAISE
AAAACCEINPRT: ACCAPARAIENT
AAAACCEIPRRS: ACCAPARERAIS
AAAACCEIPRRT: ACCAPARERAIT
AAAACCENPRST: ACCAPARANTES
AAAACCEPRSSS: ACCAPARASSES
AAAACCINNOPR: CAPARACONNAI
AAAACCNNOPRS: CAPARACONNAS
AAAACCNNOPRT: CAPARACONNAT
AAAACDEGHLNS: ACHALANDAGES
AAAACDEGIMMS: MACADAMISAGE
AAAACDEGINRR: ACAGNARDERAI
AAAACDEGMNRS: ACAGNARDAMES
AAAACDEGNRRS: ACAGNARDERAS
AAAACDEGNRSS: ACAGNARDASSE
AAAACDEGNRST: ACAGNARDATES
AAAACDEHILNR: ACHALANDERAI
AAAACDEHLMNS: ACHALANDAMES
AAAACDEHLNRS: ACHALANDERAS
AAAACDEHLNSS: ACHALANDASSE
AAAACDEHLNST: ACHALANDATES
AAAACDEIMMRS: MACADAMISERA
AAAACDIIINNS: CANADIANISAI
AAAACDIIMMSS: MACADAMISAIS
AAAACDIIMMST: MACADAMISAIT
AAAACDIINNSS: CANADIANISAS
AAAACDIINNST: CANADIANISAT
AAAACDIMMNST: MACADAMISANT
AAAACEEGPRSS: ASPARAGACEES
AAAACEEMNRST: AMARANTACEES
AAAACEHLNPRV: PARAVALANCHE
AAAACEINPRTT: CARAPATAIENT
AAAACEIPRRST: CARAPATERAIS
AAAACEIPRRTT: CARAPATERAIT
AAAACELNNSST: ANTANACLASES
AAAACENORTUV: AUTOCARAVANE
AAAACEPRSSST: CARAPATASSES
AAAACGILMMRT: AGRAMMATICAL
AAAACILMNRTT: ALMICANTARAT
AAAADEEGNSTV: DESAVANTAGEA
AAAADELNPRSS: SARDANAPALES
AAAAEEGINNPT: APANAGEAIENT
AAAAEEGMNSTV: AVANTAGEAMES
AAAAEEGNPSSS: APANAGEASSES
AAAAEEGNSSTV: AVANTAGEASSE
AAAAEEGNSTTV: AVANTAGEATES
AAAAEGGLNPRS: PARALANGAGES
AAAAEGILMMNT: AMALGAMAIENT
AAAAEGILMMRS: AMALGAMERAIS
AAAAEGILMMRT: AMALGAMERAIT
AAAAEGINRSTV: AVANTAGERAIS
AAAAEGINRTTV: AVANTAGERAIT
AAAAEGLMMSSS: AMALGAMASSES
AAAAEGLNPQSU: AQUAPLANAGES
AAAAEHIMNSTT: ANATHEMATISA
AAAAEHPPRRRS: PARAPHRASERA
AAAAEIJKNRST: JAKARTANAISE
AAAAEILLPRST: PALATALISERA
AAAAEIPPRRRT: REAPPARAITRA
AAAAELPRSSTT: PARASTATALES
AAAAGILMMNOT: AMALGAMATION
AAAAHIPPRRSS: PARAPHRASAIS
AAAAHIPPRRST: PARAPHRASAIT
AAAAHNPPRRST: PARAPHRASANT
AAAAIILLPSST: PALATALISAIS
AAAAIILLPSTT: PALATALISAIT
AAAAIINPRSTT: ANTIPARASITA
AAAAIIPPRRST: APPARAITRAIS
AAAAIIPPRRTT: APPARAITRAIT
AAAAIIPPRSSS: APPARAISSAIS
AAAAIIPPRSST: APPARAISSAIT
AAAAILLNPSTT: PALATALISANT
AAAAILNOSTUY: AUTOANALYSAI
AAAAINPPRSST: APPARAISSANT
