AAAAABBCDNRRT: ABRACADABRANT
AAAAABHMNRTTY: BHARATANATYAM
AAAABCCEILNSS: CASABLANCAISE
AAAABCCELRSTU: BACCALAUREATS
AAAABCEGHISST: ACHGABATAISES
AAAABCEINPRRS: PARABANCAIRES
AAAABDIIRSSST: ABATARDISSAIS
AAAABDIIRSSTT: ABATARDISSAIT
AAAABDINRSSTT: ABATARDISSANT
AAAABEILLLOPT: LABIOPALATALE
AAAABILLOPTUX: LABIOPALATAUX
AAAACCDEEINRS: ANACARDIACEES
AAAACCDEILNTV: CAVALCADAIENT
AAAACCDEILRSV: CAVALCADERAIS
AAAACCDEILRTV: CAVALCADERAIT
AAAACCDELSSSV: CAVALCADASSES
AAAACCEEIRRSU: ARAUCARIACEES
AAAACCEIMNSSS: CASAMANCAISES
AAAACCEIPRSSZ: ACCAPARASSIEZ
AAAACCENNOPRR: CAPARACONNERA
AAAACCENPRSST: ACCAPARASSENT
AAAACCINNOPRS: CAPARACONNAIS
AAAACCINNOPRT: CAPARACONNAIT
AAAACCNNNOPRT: CAPARACONNANT
AAAACDEGIMMSS: MACADAMISAGES
AAAACDEGINNRT: ACAGNARDAIENT
AAAACDEGINRRS: ACAGNARDERAIS
AAAACDEGINRRT: ACAGNARDERAIT
AAAACDEGNRSSS: ACAGNARDASSES
AAAACDEHILNNT: ACHALANDAIENT
AAAACDEHILNRS: ACHALANDERAIS
AAAACDEHILNRT: ACHALANDERAIT
AAAACDEHLNSSS: ACHALANDASSES
AAAACDEIIMMRS: MACADAMISERAI
AAAACDEIINNRS: CANADIANISERA
AAAACDEIMMMSS: MACADAMISAMES
AAAACDEIMMRSS: MACADAMISERAS
AAAACDEIMMSSS: MACADAMISASSE
AAAACDEIMMSST: MACADAMISATES
AAAACDIIINNSS: CANADIANISAIS
AAAACDIIINNST: CANADIANISAIT
AAAACDIINNNST: CANADIANISANT
AAAACEGILMMRT: AGRAMMATICALE
AAAACEHIMPPRR: PARAPHARMACIE
AAAACEHLNPRSV: PARAVALANCHES
AAAACEILNRRSV: CARAVANSERAIL
AAAACEIPRSSTZ: CARAPATASSIEZ
AAAACENORSTUV: AUTOCARAVANES
AAAACENPRSSTT: CARAPATASSENT
AAAACGIMMRTUX: AGRAMMATICAUX
AAAACILMNRSTT: ALMICANTARATS
AAAADEEGINSTV: DESAVANTAGEAI
