AAAAABBCDENRRT: ABRACADABRANTE
AAAAABBCDNRRST: ABRACADABRANTS
AAAAABHMNRSTTY: BHARATANATYAMS
AAAABCCEILNSSS: CASABLANCAISES
AAAABDEIIJNRSZ: AZERBAIDJANAIS
AAAABDEIINRRTT: ABATARDIRAIENT
AAAABDEINNNORT: ABANDONNATAIRE
AAAABEILLLOPST: LABIOPALATALES
AAAACCDEILSSVZ: CAVALCADASSIEZ
AAAACCDELNSSTV: CAVALCADASSENT
AAAACCEEINPRRT: ACCAPARERAIENT
AAAACCEINNOPRR: CAPARACONNERAI
AAAACCEMNNOPRS: CAPARACONNAMES
AAAACCENNOPRRS: CAPARACONNERAS
AAAACCENNOPRSS: CAPARACONNASSE
AAAACCENNOPRST: CAPARACONNATES
AAAACCINOPRSSS: ACCAPARASSIONS
AAAACDEGINRSSZ: ACAGNARDASSIEZ
AAAACDEGNNRSST: ACAGNARDASSENT
AAAACDEHILNSSZ: ACHALANDASSIEZ
AAAACDEHLNNSST: ACHALANDASSENT
AAAACDEIIINNRS: CANADIANISERAI
AAAACDEIIMMNST: MACADAMISAIENT
AAAACDEIIMMRSS: MACADAMISERAIS
AAAACDEIIMMRST: MACADAMISERAIT
AAAACDEIIMNNSS: CANADIANISAMES
AAAACDEIINNRSS: CANADIANISERAS
AAAACDEIINNSSS: CANADIANISASSE
AAAACDEIINNSST: CANADIANISATES
AAAACDEIMMSSSS: MACADAMISASSES
AAAACEEINPRRTT: CARAPATERAIENT
AAAACEGILMMRST: AGRAMMATICALES
AAAACEHIMPPRRS: PARAPHARMACIES
AAAACEILNRRSSV: CARAVANSERAILS
AAAACGIILMMRST: GRAMMATICALISA
AAAACINOPRSSST: CARAPATASSIONS
AAAADEEGINRSTV: DESAVANTAGERAI
AAAADEEGINSSTV: DESAVANTAGEAIS
AAAADEEGINSTTV: DESAVANTAGEAIT
AAAADEEGNNSTTV: DESAVANTAGEANT
AAAADEEGNRSSTV: DESAVANTAGERAS
AAAADGIIILLRRR: RAGAILLARDIRAI
AAAADGIILLRRRS: RAGAILLARDIRAS
AAAAEEGILMMNRT: AMALGAMERAIENT
AAAAEEGINNRTTV: AVANTAGERAIENT
AAAAEEGINSSTVZ: AVANTAGEASSIEZ
AAAAEEGNNSSTTV: AVANTAGEASSENT
AAAAEEHIMNRSTT: ANATHEMATISERA
AAAAEGIMMMNRST: ANAGRAMMATISME
AAAAEGIMMNQRTU: ANAGRAMMATIQUE
AAAAEGIMMNRSTT: ANAGRAMMATISTE
AAAAEGINNOPSSS: APANAGEASSIONS
AAAAEHIIMNSSTT: ANATHEMATISAIS
AAAAEHIIMNSTTT: ANATHEMATISAIT
AAAAEHIKKNSSTZ: KAZAKHSTANAISE
AAAAEHIMNNSTTT: ANATHEMATISANT
AAAAEHINPPRRST: PARAPHRASAIENT
AAAAEHIPPRRRSS: PARAPHRASERAIS
AAAAEHIPPRRRST: PARAPHRASERAIT
AAAAEHPPRRSSSS: PARAPHRASASSES
AAAAEIILLNPSTT: PALATALISAIENT
AAAAEIILLPRSST: PALATALISERAIS
AAAAEIILLPRSTT: PALATALISERAIT
AAAAEIINPPRRTT: APPARAITRAIENT
AAAAEIINPPRSST: APPARAISSAIENT
AAAAEIINPRRSTT: ANTIPARASITERA
AAAAEIIPPRRRST: REAPPARAITRAIS
AAAAEIIPPRRRTT: REAPPARAITRAIT
AAAAEIIPPRRSSS: REAPPARAISSAIS
AAAAEIIPPRRSST: REAPPARAISSAIT
AAAAEILLPSSSST: PALATALISASSES
AAAAEILNORSTUY: AUTOANALYSERAI
AAAAEINPPRRSST: REAPPARAISSANT
AAAAELMNOSSTUY: AUTOANALYSAMES
AAAAELNORSSTUY: AUTOANALYSERAS
AAAAELNOSSSTUY: AUTOANALYSASSE
AAAAELNOSSTTUY: AUTOANALYSATES
AAAAGILMMNOSSS: AMALGAMASSIONS
AAAAIIINPRSSTT: ANTIPARASITAIS
AAAAIIINPRSTTT: ANTIPARASITAIT
AAAAIILLNOPSTT: PALATALISATION
AAAAIINNPRSTTT: ANTIPARASITANT
AAAAIINPRRRSTT: TRANSPARAITRAI
AAAAINPRRRSSTT: TRANSPARAITRAS
AAABBEEILLNRTT: BLABLATERAIENT
AAABBEIIRRSSSZ: BARBARISASSIEZ
AAABBEINRRSSST: BARBARISASSENT
AAABBILLNOSSST: BLABLATASSIONS
AAABCCEFHIILRS: SACCHARIFIABLE
AAABCCEFIILRSS: SACCARIFIABLES
AAABCCEILNNORT: CONTREBALANCAI
AAABCCELNNORST: CONTREBALANCAS
AAABCCELNNORTT: CONTREBALANCAT
AAABCCENNRSSSU: BANCASSURANCES
AAABCDEEILNRTU: CLABAUDERAIENT
AAABCDEEINORRT: DECARBONATERAI
AAABCDEEMNORST: DECARBONATAMES
AAABCDEENORRST: DECARBONATERAS
AAABCDEENORSST: DECARBONATASSE
AAABCDEENORSTT: DECARBONATATES
AAABCDEHIMRSSZ: CHAMBARDASSIEZ
AAABCDEHINRSTU: CHATEAUBRIANDS
AAABCDEHMNRSST: CHAMBARDASSENT
AAABCDEIIRRSSZ: BARRICADASSIEZ
AAABCDEINNNORT: ABANDONNATRICE
AAABCDEINRRSST: BARRICADASSENT
AAABCDEINRRSSZ: BRANCARDASSIEZ
AAABCDENNRRSST: BRANCARDASSENT
AAABCDILNOSSSU: CLABAUDASSIONS
AAABCEEEINNNRT: ENCABANERAIENT
AAABCEEIIMNNRT: AMBIANCERAIENT
AAABCEEILMNSTT: BETALACTAMINES
AAABCEFFILRSTU: AFFABULATRICES
AAABCEFLMNRTUU: MANUFACTURABLE
AAABCEGILLMORU: CARAMBOUILLAGE
AAABCEGIORSSTT: TARABISCOTAGES
AAABCEHILMNNRT: CHAMBRANLAIENT
AAABCEHILMNRRS: CHAMBRANLERAIS
AAABCEHILMNRRT: CHAMBRANLERAIT
AAABCEHINRSTTU: CHATEAUBRIANTS
AAABCEHLMNNRST: CHAMBRANLANTES
AAABCEHLMNRSSS: CHAMBRANLASSES
AAABCEIIILNNRS: CANNIBALISERAI
AAABCEIILLPSST: CAPITALISABLES
AAABCEIILMNNSS: CANNIBALISAMES
AAABCEIILNNRSS: CANNIBALISERAS
AAABCEIILNNSSS: CANNIBALISASSE
AAABCEIILNNSST: CANNIBALISATES
AAABCEIINRSSSZ: BANCARISASSIEZ
AAABCEIIORRSTT: TARABISCOTERAI
AAABCEIIRRSTUU: BUREAUCRATISAI
AAABCEILLMORRU: CARAMBOUILLERA
AAABCEILMORSSZ: CARAMBOLASSIEZ
AAABCEIMORSSTT: TARABISCOTAMES
AAABCEINNNOSSS: ENCABANASSIONS
AAABCEINNRSSST: BANCARISASSENT
AAABCEINORSSTZ: CARBONATASSIEZ
AAABCEIORRSSTT: TARABISCOTERAS
AAABCEIORSSSTT: TARABISCOTASSE
AAABCEIORSSTTT: TARABISCOTATES
AAABCEIRRSSTUU: BUREAUCRATISAS
AAABCEIRRSTTUU: BUREAUCRATISAT
AAABCELMNORSST: CARAMBOLASSENT
AAABCENNORSSTT: CARBONATASSENT
AAABCGNORRRSTU: AGROCARBURANTS
AAABCIILLMORSU: CARAMBOUILLAIS
AAABCIILLMORTU: CARAMBOUILLAIT
AAABCIIMNNOSSS: AMBIANCASSIONS
AAABCIINNORSST: BANCARISATIONS
AAABCILLMNORTU: CARAMBOUILLANT
AAABCINNOORSTT: CARBONATATIONS
AAABDDEILNRSST: STANDARDISABLE
AAABDEEGINNTUU: BAGUENAUDAIENT
AAABDEEGINRSUU: BAGUENAUDERAIS
AAABDEEGINRTUU: BAGUENAUDERAIT
AAABDEEGNSSSUU: BAGUENAUDASSES
AAABDEEIIILLRS: DELABIALISERAI
AAABDEEIILLMSS: DELABIALISAMES
AAABDEEIILLRSS: DELABIALISERAS
AAABDEEIILLSSS: DELABIALISASSE
AAABDEEIILLSST: DELABIALISATES
AAABDEEIILNNST: DEBANALISAIENT
AAABDEEIILNRSS: DEBANALISERAIS
AAABDEEIILNRST: DEBANALISERAIT
AAABDEEIILRRSV: ADVERBIALISERA
AAABDEEILNSSSS: DEBANALISASSES
AAABDEEIMORRTU: DEMARABOUTERAI
AAABDEEINRRSST: BARDASSERAIENT
                DEBARRASSAIENT
AAABDEEIRRRSSS: DEBARRASSERAIS
AAABDEEIRRRSST: DEBARRASSERAIT
AAABDEEIRRSSUZ: BARREAUDASSIEZ
AAABDEEMMORSTU: DEMARABOUTAMES
AAABDEEMORRSTU: DEMARABOUTERAS
AAABDEEMORSSTU: DEMARABOUTASSE
AAABDEEMORSTTU: DEMARABOUTATES
AAABDEENRRSSTU: BARREAUDASSENT
AAABDEERRSSSSS: DEBARRASSASSES
AAABDEGIILLNOS: DIAGONALISABLE
AAABDEGIILORSS: RADIOBALISAGES
AAABDEGINOSSVZ: VAGABONDASSIEZ
AAABDEGNNOSSTV: VAGABONDASSENT
AAABDEIIILORRS: RADIOBALISERAI
AAABDEIIILRSSV: ADVERBIALISAIS
AAABDEIIILRSTV: ADVERBIALISAIT
AAABDEIILMORSS: RADIOBALISAMES
AAABDEIILNNOST: DEBANALISATION
AAABDEIILNRSTV: ADVERBIALISANT
AAABDEIILORRSS: RADIOBALISERAS
AAABDEIILORSSS: RADIOBALISASSE
AAABDEIILORSST: RADIOBALISATES
AAABDEINNNOSSZ: ABANDONNASSIEZ
AAABDENNNNOSST: ABANDONNASSENT
