AAABCC: CACABA
AAABCL: CABALA
AAABCN: CABANA
AAABCS: ABACAS
AAABDL: BALADA
AAABKR: BARAKA
AAABLT: ABLATA
        BALATA
        TABALA
AAABLY: BALAYA
AAABNN: BANANA
AAABNS: ANABAS
        BASANA
AAABRS: ABRASA
AAACCI: ACACIA
AAACDN: CANADA
AAACFR: CARAFA
AAACGI: AGACAI
AAACGS: AGACAS
AAACGT: AGACAT
AAACHL: ACHALA
AAACJN: JACANA
AAACLP: ALPACA
AAACLV: CAVALA
AAACMR: MARACA
AAACNR: CANARA
AAACNV: AVANCA
AAACPT: PATACA
AAACST: ATACAS
AAADGS: AGADAS
AAADHM: HAMADA
AAADJM: DJAMAA
AAADMR: ARMADA
AAADPR: PARADA
AAADPT: ADAPTA
AAAFFL: AFFALA
AAAFFM: AFFAMA
AAAFGR: AGRAFA
AAAFLR: RAFALA
AAAFPR: PARAFA
AAAGLM: MALAGA
AAAGLP: ALPAGA
AAAGMN: MAGANA
AAAGPY: PAGAYA
AAAHIN: AHANAI
AAAHMR: AMHARA
AAAHNS: AHANAS
AAAHNT: AHANAT
AAAHRZ: HAZARA
AAAILR: ARALIA
AAAILV: AVALAI
AAAIPS: APAISA
AAAIRS: ARASAI
AAAIRV: AVARIA
AAAJKT: JATAKA
AAAJNV: NAVAJA
AAAKLM: KAMALA
AAAKNT: KATANA
AAAKRW: ARAWAK
AAAKSS: AKASSA
AAALLL: LALALA
AAALMR: ALARMA
AAALMS: MASALA
AAALMX: MALAXA
AAALRV: RAVALA
AAALSV: AVALAS
AAALTV: AVALAT
AAAMMZ: MAZAMA
AAAMNP: PANAMA
AAAMNT: ATAMAN
AAAMPT: APATAM
AAAMRR: AMARRA
AAAMRS: SAMARA
AAAMRT: TARAMA
AAAMRY: AYMARA
AAAMSS: AMASSA
AAANNS: ANANAS
AAANPV: PAVANA
AAANSS: ASANAS
AAAPPT: APPATA
AAAPRS: APSARA
AAARSS: ARASAS
AAARST: ARASAT
AAARTV: AVATAR
AAASTV: SAVATA
AABBBO: BAOBAB
AABBER: EBARBA
AABBEY: ABBAYE
AABBFL: FABLAB
AABBIR: BARBAI
AABBLL: BLABLA
AABBLO: BABOLA
        BALBOA
AABBLU: BALUBA
AABBMS: BAMBAS
AABBNN: BANBAN
AABBNS: NABABS
AABBRS: BARBAS
        RABABS
AABBRT: BARBAT
AABBST: SABBAT
AABCCE: CACABE
AABCDE: ABCEDA
AABCEL: CABALE
AABCEN: CABANE
AABCEO: COBAEA
AABCER: CARABE
AABCHI: BACHAI
        CHAABI
AABCHL: CHABLA
AABCHN: BANCHA
AABCHS: BACHAS
        CASBAH
AABCHT: BACHAT
AABCII: CABIAI
AABCIL: BACLAI
        CABLAI
AABCIM: CAMBAI
AABCIN: CABINA
AABCIR: CABRAI
AABCIT: ACABIT
AABCLN: BANCAL
AABCLR: CALBAR
AABCLS: BACLAS
        CABLAS
AABCLT: BACLAT
        CABLAT
AABCLU: BACULA
AABCMO: MACABO
AABCMR: CAMBRA
AABCMS: CAMBAS
AABCMT: CAMBAT
AABCNS: CABANS
AABCOT: CABOTA
AABCRS: BARSAC
        CABRAS
AABCRT: CABRAT
AABCRU: AUBRAC
AABCST: TABACS
AABCUU: AUCUBA
AABDDU: BADAUD
AABDEG: BADGEA
AABDEL: BALADE
AABDEM: BADAME
AABDER: BADERA
AABDET: DEBATA
AABDEU: AUBADE
AABDFR: BARDAF
AABDGS: BAGADS
AABDIN: BADINA
        BANDAI
AABDIR: BARDAI
        BRADAI
AABDIS: BADAIS
AABDIT: BADAIT
        BATIDA
AABDIU: DAUBAI
AABDLM: LAMBDA
AABDLO: BALADO
AABDNO: ABONDA
AABDNS: BANDAS
AABDNT: BADANT
        BANDAT
AABDOR: ABORDA
AABDOU: ADOUBA
AABDRS: BARDAS
        BRADAS
AABDRT: BARDAT
        BATARD
        BRADAT
        TABARD
AABDRV: BAVARD
AABDSU: DAUBAS
AABDTU: DAUBAT
AABEET: ABATEE
AABEFL: FABALE
AABEGG: BAGAGE
AABEGR: GABARE
AABEGU: AUBAGE
        BAUGEA
AABEGY: BEGAYA
AABEHI: BAHAIE
AABEIL: ABELIA
        BALAIE
AABEIR: BAIERA
AABEIS: ABASIE
AABEKR: BREAKA
AABELN: BALANE
        BANALE
AABELR: ARABLE
AABELS: ABALES
        BASALE
AABELT: ABLATE
        BATELA
        ETABLA
AABELY: BALAYE
AABEMT: EMBATA
AABENN: BANANE
AABENR: RABANE
AABENS: BASANE
AABEQU: ABAQUE
AABERR: ABERRA
AABERS: ABRASE
        ARABES
        BASERA
        EBRASA
AABERT: BARETA
        BATERA
AABERV: BAVERA
AABERY: BAYERA
AABERZ: ZARABE
AABETT: ABATTE
AABETU: BATEAU
AABETV: BATAVE
AABFFI: BAFFAI
AABFFS: BAFFAS
AABFFT: BAFFAT
AABFIR: BAFRAI
AABFLM: FLAMBA
AABFLU: FABULA
AABFOU: BAFOUA
AABFRS: BAFRAS
AABFRT: BAFRAT
AABGIL: GALBAI
AABGIN: BAIGNA
AABGIR: AIRBAG
AABGIU: BAGUAI
AABGLS: GALBAS
AABGLT: GALBAT
AABGLU: BLAGUA
AABGMS: GAMBAS
AABGRT: GRABAT
AABGSS: GASBAS
AABGSU: BAGUAS
AABGTU: BAGUAT
AABHIL: HABLAI
AABHIS: BAHAIS
AABHIT: HABITA
AABHLS: HABLAS
AABHLT: HABLAT
AABHNU: HAUBAN
AABIIM: ABIMAI
AABIIR: ABRIAI
AABIIS: BAISAI
        BIAISA
AABIJL: JABLAI
AABIKR: BARAKI
AABILL: BAILLA
        BALLAI
        LABIAL
AABILM: AMBLAI
        BLAMAI
AABILR: BLAIRA
        RABLAI
AABILS: BALAIS
        BALISA
        BLASAI
        SABLAI
AABILT: TABLAI
AABILV: BALIVA
AABILZ: ZLABIA
AABIMR: AMBRAI
        BAIRAM
        BRAMAI
AABIMS: ABIMAS
AABIMT: ABIMAT
AABINN: ANNABI
        BANIAN
AABINU: AUBAIN
        AUBINA
AABINZ: BANZAI
AABIOY: ABOYAI
AABIQU: BAQUAI
AABIRR: BARRAI
        BRAIRA
AABIRS: ABRIAS
        BASIRA
        BRAISA
        BRASAI
        RABAIS
        SABRAI
AABIRT: ABRIAT
        ABRITA
        BATIRA
AABIRV: BRAVAI
AABIRY: BRAYAI
AABIRZ: BAZARI
AABISS: BAISAS
        BAISSA
        BASAIS
AABIST: ABATIS
        BAISAT
        BASAIT
        BASTAI
        BATAIS
AABISU: ABUSAI
AABISV: BAVAIS
AABISW: WASABI
AABISY: BAYAIS
AABITT: BATAIT
AABITU: ABUTAI
AABITV: BAVAIT
AABITY: BAYAIT
AABJLS: JABLAS
AABJLT: JABLAT
AABJOT: JABOTA
AABJRU: ABJURA
AABKRU: KARBAU
AABKRY: KABARY
AABLLS: BALLAS
AABLLT: BALLAT
AABLMR: MALBAR
AABLMS: AMBLAS
        BLAMAS
        LAMBAS
AABLMT: AMBLAT
        BLAMAT
AABLMX: MBALAX
AABLNR: BRANLA
AABLNS: BANALS
        NABLAS
AABLNT: BALANT
AABLNZ: BALZAN
AABLOU: ABOULA
        BALAOU
AABLOV: LAVABO
AABLRS: RABLAS
AABLRT: RABLAT
        TABLAR
AABLRU: BARULA
AABLSS: BALSAS
        BLASAS
        SABLAS
AABLST: BLASAT
        SABLAT
        TABLAS
AABLTT: TABLAT
AABLTU: TABULA
AABMMS: MAMBAS
AABMNR: BARMAN
AABMRR: MARBRA
AABMRS: AMBRAS
        BRAMAS
AABMRT: AMBRAT
        BRAMAT
AABMRY: BAYRAM
AABMSS: SAMBAS
AABMSY: YAMBAS
AABNNO: ABONNA
AABNOR: ABORNA
AABNQU: BANQUA
AABNRS: RABANS
AABNRT: TRABAN
AABNRU: RUBANA
AABNST: BANATS
        BASANT
AABNTT: BATANT
AABNTV: BAVANT
AABNTY: BAYANT
AABNUX: BANAUX
AABORR: ARBORA
AABORS: AROBAS
AABORT: RABOTA
AABOST: SABOTA
AABOSY: ABOYAS
AABOTU: ABOUTA
        TABOUA
AABOTY: ABOYAT
AABQRU: BRAQUA
AABQSU: BAQUAS
AABQTU: BAQUAT
AABRRS: BARRAS
